#time, unixtime, spillnum, POT
2026/01/22/21:40, 1769085643, 2729487, 233942458223103.2
2026/01/22/21:40, 1769085645, 2729488, 234080520903342
2026/01/22/21:40, 1769085646, 2729489, 234038662228449.3
2026/01/22/21:40, 1769085647, 2729490, 233865925860038.4
2026/01/22/21:40, 1769085648, 2729491, 233911576969577.1
2026/01/22/21:40, 1769085650, 2729492, 234041912886715.8
2026/01/22/21:40, 1769085651, 2729493, 234106835755971.1
2026/01/22/21:40, 1769085652, 2729494, 233993423900915.6
2026/01/22/21:40, 1769085653, 2729495, 235042406163557.3
2026/01/22/21:40, 1769085655, 2729496, 234449470616526.4
2026/01/22/21:40, 1769085656, 2729497, 233966077093281.5
2026/01/22/21:40, 1769085657, 2729498, 234341644217934.5
2026/01/22/21:40, 1769085659, 2729499, 234126778286442.3
2026/01/22/21:41, 1769085660, 2729500, 234575136937266.8
2026/01/22/21:41, 1769085661, 2729501, 234167166425452.9
2026/01/22/21:41, 1769085662, 2729502, 234954328803875.5
2026/01/22/21:41, 1769085664, 2729503, 233993178811601.9
2026/01/22/21:41, 1769085665, 2729504, 234325145837292.2
2026/01/22/21:41, 1769085666, 2729505, 233983852518242.9
2026/01/22/21:41, 1769085668, 2729506, 234773375493739.5
2026/01/22/21:41, 1769085669, 2729507, 234398595234775.9
2026/01/22/21:41, 1769085670, 2729508, 232944660928710.2
2026/01/22/21:41, 1769085671, 2729509, 234756425632781.1
2026/01/22/21:41, 1769085673, 2729510, 234164405945816.1
2026/01/22/21:41, 1769085674, 2729511, 233814328109785.6
2026/01/22/21:41, 1769085675, 2729512, 234046053606173.8
2026/01/22/21:41, 1769085677, 2729513, 234233392137905
2026/01/22/21:41, 1769085678, 2729514, 234184722559978.3
2026/01/22/21:41, 1769085679, 2729515, 234058320971296.4
2026/01/22/21:41, 1769085680, 2729516, 234252986383563.1
2026/01/22/21:41, 1769085682, 2729517, 232369410510575.8
2026/01/22/21:41, 1769085683, 2729518, 234752775091951.2
2026/01/22/21:41, 1769085684, 2729519, 234420098597194
2026/01/22/21:41, 1769085685, 2729520, 234406979869193.5
2026/01/22/21:41, 1769085687, 2729521, 234062306897502.4
2026/01/22/21:41, 1769085688, 2729522, 234245414413713.7
