#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 70.5696, 469
2, 59.5471, 580
3, 55.7856, 514
4, 64.2903, 539
5, 65.221, 463
6, 57.0373, 506
7, 56.266, 512
8, 47.2125, 406
9, 58.6343, 507
10, 51.4449, 421
11, 55.3477, 526
12, 61.8319, 499
13, 64.1757, 535
14, 64.6886, 557
15, 52.0064, 445
16, 57.1855, 424
17, 49.9328, 457
18, 59.0417, 492
19, 58.5453, 524
20, 45.2614, 430
21, 50.3141, 449
22, 48.4706, 454
23, 51.7995, 421
24, 55.1783, 681
25, 48.2415, 405
26, 53.1378, 456
27, 59.2222, 472
28, 61.1388, 639
29, 53.4971, 469
30, 61.742, 442
31, 56.212, 460
32, 52.646, 492
33, 55.2399, 462
34, 58.8298, 489
35, 55.3107, 411
36, 54.1481, 447
37, 49.6761, 424
38, 53.5408, 548
39, 51.4076, 457
40, 47.4305, 460
41, 56.5171, 497
42, 71.8319, 514
43, 56.1394, 437
44, 53.204, 475
45, 54.8929, 482
46, 67.2397, 498
47, 61.6131, 503
48, 55.1424, 440
49, 53.1083, 562
50, 50.9765, 508
51, 53.5965, 403
52, 59.6266, 412
53, 51.1007, 393
54, 54.2411, 441
55, 57.5964, 414
56, 62.9218, 719
57, 57.1849, 403
58, 54.1245, 406
59, 60.2515, 478
60, 56.4164, 467
61, 48.5307, 441
62, 52.448, 489
63, 49.9905, 425
64, 53.9899, 439
65, 57.5414, 470
66, 52.8735, 447
67, 48.7786, 371
68, 46.0671, 416
69, 53.6011, 464
70, 50.9519, 683
71, 50.3033, 407
72, 46.1913, 406
73, 54.9827, 461
74, 55.6236, 464
75, 56.5074, 389
76, 62.2618, 458
77, 55.8812, 449
78, 59.9034, 464
79, 59.3075, 420
80, 51.8245, 404
81, 55.6752, 431
82, 52.2157, 381
83, 56.3971, 422
84, 59.5252, 700
85, 53.1873, 430
86, 56.8618, 480
87, 63.2083, 443
88, 62.7332, 493
89, 61.9162, 509
90, 52.7309, 418
91, 52.246, 426
92, 54.2753, 389
93, 44.1827, 368
94, 62.6617, 468
95, 55.2347, 438
96, 59.4162, 409
97, 59.338, 472
98, 70.4056, 638
99, 47.0987, 378
100, 58.7717, 434
101, 57.9582, 395
102, 57.2838, 560
103, 52.7095, 421
104, 54.5402, 426
105, 55.7478, 419
106, 53.4306, 406
107, 54.2153, 433
108, 62.4398, 450
109, 52.3512, 436
110, 60.8105, 385
111, 70.8849, 509
112, 55.3994, 394
113, 59.6594, 400
114, 51.9888, 389
115, 56.5086, 396
116, 53.6017, 378
117, 56.3513, 363
118, 53.9883, 442
119, 45.725, 400
120, 53.7348, 464
121, 57.7921, 399
122, 54.041, 407
123, 53.4928, 414
124, 53.5351, 620
125, 47.8945, 349
126, 40.1371, 304
127, 45.7515, 392
128, 57.8382, 457
129, 51.2474, 431
130, 48.1992, 450
131, 50.8446, 420
132, 59.3517, 414
133, 51.9154, 363
134, 53.9309, 402
135, 57.9391, 419
136, 52.9026, 416
137, 54.0939, 386
138, 58.4843, 458
139, 48.8485, 401
140, 50.8383, 302
201, 59.2135, 412
202, 58.5784, 513
203, 51.7367, 561
204, 45.8603, 483
205, 50.9279, 471
206, 44.804, 500
207, 44.1721, 468
208, 48.0782, 514
209, 46.3007, 429
210, 47.3995, 441
211, 46.0867, 406
212, 51.1884, 489
213, 50.7479, 480
214, 49.6136, 456
215, 48.9385, 449
216, 50.2157, 453
217, 46.317, 495
218, 50.7332, 489
219, 48.7496, 492
220, 47.1263, 563
221, 44.0549, 478
222, 46.7952, 503
223, 53.5324, 487
224, 51.2772, 493
225, 52.3346, 475
226, 56.6771, 527
227, 52.9498, 493
228, 50.6991, 498
229, 47.7578, 411
230, 53.3518, 421
231, 49.3347, 410
232, 56.2649, 449
233, 47.4874, 443
234, 48.1423, 454
235, 41.2915, 402
236, 46.1805, 430
237, 52.7299, 490
238, 53.3326, 426
239, 49.107, 460
240, 47.5069, 904
241, 48.7642, 419
242, 50.4029, 416
243, 50.5206, 391
244, 51.0786, 418
245, 52.5868, 451
246, 52.8169, 448
247, 51.5913, 435
248, 47.4441, 419
249, 45.2336, 378
250, 44.1083, 454
251, 49.1513, 415
252, 46.441, 404
253, 52.1171, 390
254, 44.5254, 875
255, 51.5731, 447
256, 47.6058, 379
257, 53.1285, 415
258, 46.165, 433
259, 50.3153, 400
260, 57.0644, 452
261, 49.6121, 510
262, 46.9861, 443
263, 43.5327, 436
264, 59.8231, 422
265, 53.0728, 562
266, 45.107, 456
267, 45.9415, 972
268, 53.1355, 389
269, 49.2877, 364
270, 57.4268, 372
271, 63.3038, 409
272, 45.7519, 335
273, 54.3978, 349
274, 49.0674, 419
275, 59.9141, 449
276, 49.166, 414
277, 58.4372, 413
278, 50.7354, 401
279, 50.8034, 390
280, 54.7784, 456
281, 53.7737, 442
282, 51.458, 493
283, 49.4028, 404
284, 50.4223, 482
285, 49.2285, 399
286, 53.9834, 380
287, 47.8229, 411
288, 59.7861, 418
289, 47.3738, 442
290, 52.3545, 449
291, 51.3718, 461
292, 50.9408, 452
293, 58.3932, 461
294, 56.863, 705
295, 51.3036, 396
296, 49.805, 366
297, 53.2295, 399
298, 50.6059, 396
299, 51.9257, 428
300, 48.5767, 378
301, 54.3716, 385
302, 47.4334, 390
303, 43.4774, 364
304, 49.0803, 430
305, 52.4343, 371
306, 52.4108, 387
307, 60.1779, 513
308, 49.6114, 462
309, 51.551, 473
310, 45.4823, 473
311, 48.9591, 443
312, 51.6905, 449
313, 55.4092, 428
314, 52.3324, 383
315, 57.3347, 433
316, 45.4519, 413
317, 50.076, 424
318, 51.8616, 416
319, 46.0529, 455
320, 52.5156, 465
321, 59.5812, 601
322, 49.4291, 381
323, 47.3429, 387
324, 50.6311, 426
325, 54.2698, 412
