#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 78.5038, 5
2, 37.1688, 8
3, 52.9993, 6
4, 50.214, 10
5, 66.7456, 10
6, 43.8133, 10
7, 89.8099, 10
8, 45.145, 11
9, 52.2904, 14
10, 38.0207, 17
11, 40.1656, 22
12, 67.5353, 15
13, 50.8232, 18
14, 58.7723, 13
15, 55.5329, 8
16, 39.4251, 7
17, 34.9317, 12
18, 59.3955, 13
19, 51.3678, 15
20, 33.331, 13
21, 54.5401, 14
22, 34.1686, 14
23, 46.9599, 13
24, 70.0492, 16
25, 50.2277, 13
26, 48.1355, 10
27, 43.6853, 12
28, 79.2947, 14
29, 31.0008, 14
30, 58.2208, 10
31, 49.4504, 9
32, 45.2, 11
33, 41.5781, 9
34, 48.8057, 9
35, 39.6554, 7
36, 44.9715, 7
37, 45.5009, 13
38, 61.6793, 15
39, 45.9431, 10
40, 40.9151, 13
41, 70.1973, 17
42, 79.0509, 19
43, 40.6972, 13
44, 60.1653, 9
45, 46.5556, 10
46, 62.6804, 7
47, 44.1795, 9
48, 57.5318, 6
49, 47.7943, 14
50, 61.5222, 15
51, 42.676, 13
52, 47.6589, 12
53, 54.4843, 6
54, 60.8283, 10
55, 37.6497, 14
56, 48.6542, 17
57, 39.5299, 8
58, 57.6073, 8
59, 57.5418, 10
60, 36.3029, 14
61, 45.9504, 12
62, 32.1574, 8
63, 37.2795, 10
64, 52.0317, 9
65, 40.027, 6
66, 62.2644, 9
67, 43.8696, 6
68, 45.7341, 6
69, 32.5812, 4
70, 54.8102, 5
71, 33.7472, 6
72, 31.28, 4
73, 40.3948, 6
74, 53.6959, 10
75, 50.0604, 12
76, 39.9414, 9
77, 57.1389, 7
78, 54.2473, 8
79, 44.3375, 8
80, 36.9781, 12
81, 49.41, 12
82, 47.0217, 9
83, 63.2296, 14
84, 68.843, 18
85, 48.5321, 6
86, 43.7487, 5
87, 55.1867, 8
88, 74.9294, 7
89, 34.0063, 8
90, 49.9729, 7
91, 53.8392, 6
92, 48.987, 10
93, 43.154, 7
94, 44.6465, 7
95, 38.3145, 8
96, 53.9263, 9
97, 34.9665, 8
98, 50.2729, 15
99, 38.7757, 7
100, 42.2402, 4
101, 39.9401, 10
102, 52.4439, 23
103, 50.4297, 16
104, 41.0575, 9
105, 51.1228, 8
106, 61.6876, 8
107, 57.0257, 9
108, 52.6784, 9
109, 24.4117, 4
110, 32.9508, 5
111, 76.7034, 7
112, 37.3037, 4
113, 64.7468, 4
114, 40.3064, 7
115, 20.8075, 2
116, 22.7708, 3
117, 52.4537, 5
118, 45.5873, 6
119, 49.8234, 5
120, 47.1695, 9
121, 42.1376, 10
122, 49.8774, 7
123, 55.6188, 12
124, 74.4806, 14
125, 56.4317, 8
126, 31.5321, 12
127, 29.3572, 8
128, 25.5089, 8
129, 49.173, 9
130, 48.2231, 12
131, 55.9774, 9
132, 45.1963, 9
133, 26.4172, 9
134, 60.3658, 5
135, 37.3489, 7
136, 43.9741, 4
137, 41.221, 7
138, 51.1514, 7
139, 41.7067, 11
140, 54.0441, 10
201, 66.1074, 7
202, 43.5671, 8
203, 46.4048, 6
204, 44.6575, 7
205, 53.0025, 8
206, 37.3214, 16
207, 37.4609, 14
208, 41.0525, 17
209, 31.1185, 10
210, 35.5259, 8
211, 24.0328, 9
212, 52.5522, 14
213, 40.5473, 10
214, 33.4298, 9
215, 43.1917, 8
216, 54.2646, 10
217, 43.4404, 20
218, 49.5373, 19
219, 69.0281, 7
220, 56.5296, 13
221, 45.0422, 16
222, 50.1519, 17
223, 55.349, 13
224, 61.8041, 10
225, 47.093, 14
226, 51.2059, 10
227, 47.8409, 10
228, 65.8515, 13
229, 43.3068, 11
230, 56.7261, 5
231, 58.3435, 4
232, 66.0401, 9
233, 27.4096, 14
234, 39.554, 9
235, 38.3648, 5
236, 32.6266, 8
237, 48.2894, 7
238, 59.9792, 6
239, 45.871, 11
240, 51.116, 16
241, 60.556, 8
242, 46.8648, 10
243, 47.6584, 11
244, 57.6054, 9
245, 59.1891, 7
246, 52.8267, 10
247, 53.7113, 10
248, 50.1859, 11
249, 33.595, 8
250, 60.6337, 7
251, 45.6788, 9
252, 60.642, 6
253, 32.5692, 7
254, 38.2691, 21
255, 46.3023, 15
256, 42.1487, 10
257, 30.275, 7
258, 34.1439, 9
259, 30.6854, 10
260, 66.217, 12
261, 38.4803, 14
262, 43.2031, 8
263, 40.6966, 6
264, 45.2425, 11
265, 44.7938, 9
266, 38.7902, 5
267, 53.1575, 17
268, 53.6539, 9
269, 30.5644, 6
270, 54.6036, 6
271, 52.1749, 11
272, 32.4567, 11
273, 39.8136, 8
274, 25.747, 6
275, 24.5238, 9
276, 41.2618, 9
277, 55.2458, 11
278, 39.8977, 15
279, 53.4827, 12
280, 40.805, 12
281, 48.0766, 8
282, 49.505, 11
283, 50.1162, 8
284, 41.8227, 9
285, 34.755, 9
286, 46.5004, 16
287, 45.4914, 13
288, 80.7974, 8
289, 65.8921, 5
290, 44.3251, 4
291, 62.9729, 6
292, 63.0188, 8
293, 66.1083, 6
294, 39.9272, 11
295, 58.3559, 9
296, 46.6273, 6
297, 57.414, 11
298, 66.8354, 6
299, 37.9486, 7
300, 62.032, 11
301, 40.1809, 11
302, 57.9168, 9
303, 33.9758, 9
304, 31.4778, 11
305, 40.3452, 7
306, 44.5846, 6
307, 49.2295, 9
308, 25.2471, 7
309, 43.9794, 9
310, 43.3593, 9
311, 35.7257, 9
312, 43.923, 8
313, 41.083, 7
314, 39.3339, 7
315, 39.8569, 7
316, 41.6982, 5
317, 45.2235, 6
318, 39.3424, 8
319, 27.2486, 7
320, 27.6068, 9
321, 52.4288, 11
322, 55.764, 11
323, 53.7058, 6
324, 37.0418, 6
325, 49.4644, 10
326, 41.9086, 12
327, 82.2212, 7
328, 28.4463, 9
329, 35.9048, 11
330, 49.6279, 12
331, 40.1917, 14
332, 41.957, 7
