#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 27.4836, 20
2, 25.314, 13
3, 31.7122, 12
4, 41.7679, 13
5, 22.5221, 8
6, 10.9864, 1577
7, 31.8401, 16
8, 31.9256, 5
9, 17.8745, 16
10, 25.5317, 10
11, 18.7809, 14
12, 24.2015, 8
13, 17.0863, 4
14, 24.0287, 21
15, 13.9824, 6
16, 16.3173, 7
17, 19.6451, 8
18, 27.9311, 9
19, 22.2136, 11
20, 0, 0
21, 37.3462, 5
22, 30.1336, 6
23, 35.6776, 1
24, 11.3904, 46
25, 17.2561, 3
26, 18.832, 1
27, 17.5625, 7
28, 11.4766, 66
29, 16.0962, 10
30, 30.1514, 11
31, 27.2645, 5
32, 17.0669, 18
33, 28.8164, 7
34, 26.8281, 9
35, 19.8083, 4
36, 20.6231, 4
37, 34.4345, 1
38, 12.7524, 47
39, 18.4327, 5
40, 35.3884, 4
41, 37.3886, 10
42, 18.8089, 15
43, 16.0632, 2
44, 29.2656, 3
45, 19.6868, 5
46, 27.8895, 21
47, 33.7779, 12
48, 39.0229, 7
49, 35.5564, 14
50, 46.2058, 7
51, 49.7599, 5
52, 46.5204, 9
53, 41.0948, 8
54, 46.6683, 4
55, 40.0127, 7
56, 17.4567, 108
57, 36.4304, 6
58, 51.0867, 6
59, 17.5771, 7
60, 22.215, 11
61, 13.8795, 7
62, 12.058, 2
63, 17.347, 4
64, 17.2713, 3
65, 19.148, 4
66, 16.6058, 11
67, 11.929, 2
68, 10.7112, 3
69, 30.5644, 5
70, 12.1935, 132
71, 21.7725, 5
72, 12.606, 6
73, 21.0838, 4
74, 21.2541, 9
75, 25.3709, 8
76, 20.7181, 16
77, 31.6312, 10
78, 43.2669, 8
79, 33.8109, 11
80, 13.7733, 6
81, 14.2066, 5
82, 18.7923, 11
83, 14.2494, 6
84, 12.5996, 106
85, 46.0512, 5
86, 14.0902, 17
87, 23.5201, 8
88, 19.4626, 16
89, 22.508, 20
90, 66.7631, 3
91, 26.5491, 7
92, 24.7083, 7
93, 17.9647, 5
94, 20.2225, 30
95, 32.0154, 4
96, 15.2264, 7
97, 26.4917, 14
98, 12.9675, 88
99, 16.4224, 2
100, 32.6877, 10
101, 11.7048, 5
102, 22.2725, 21
103, 27.8208, 8
104, 34.027, 11
105, 21.5255, 14
106, 15.5776, 9
107, 35.511, 7
108, 28.8876, 9
109, 14.6192, 1
110, 24.5413, 10
111, 15.9805, 61
112, 30.8027, 9
113, 22.172, 15
114, 28.3352, 14
115, 25.3583, 18
116, 24.217, 10
117, 17.1605, 7
118, 13.0227, 5
119, 18.1968, 4
120, 20.2405, 25
121, 27.2746, 17
122, 16.7142, 20
123, 22.6274, 10
124, 13.2958, 81
125, 12.3604, 7
126, 19.7599, 7
127, 24.3839, 17
128, 19.7336, 27
129, 22.2894, 14
130, 27.5523, 15
131, 34.5801, 18
132, 37.16, 17
133, 24.7122, 12
134, 29.1098, 15
135, 28.3227, 16
136, 24.3131, 14
137, 16.8953, 14
138, 23.3118, 32
139, 25.2014, 11
140, 29.0458, 10
201, 20.7975, 12
202, 21.5718, 8
203, 27.9303, 3
204, 24.7243, 6
205, 27.1169, 5
206, 25.7903, 7
207, 29.687, 7
208, 35.2098, 10
209, 35.025, 12
210, 37.7776, 4
211, 30.3518, 7
212, 15.1165, 12
213, 47.7355, 11
214, 36.2458, 9
215, 30.6081, 10
216, 25.8444, 10
217, 36.95, 1
218, 16.5353, 5
219, 20.919, 6
220, 36.5902, 4
221, 24.2484, 8
222, 25.6763, 5
223, 23.0953, 10
224, 35.6823, 1
225, 16.7763, 6
226, 11.6664, 3
227, 19.7993, 4
228, 27.9246, 7
229, 24.0783, 8
230, 22.3686, 8
231, 30.0395, 5
232, 36.1894, 9
233, 76.8483, 2
234, 48.6237, 2
235, 13.4836, 5
236, 37.3369, 5
237, 32.5291, 3
238, 32.9604, 3
239, 12.9615, 8
240, 12.3669, 192
241, 20.4491, 8
242, 39.8371, 7
243, 50.924, 11
244, 17.6009, 12
245, 22.3992, 6
246, 21.0338, 12
247, 26.4949, 6
248, 42.5589, 6
249, 17.5473, 3
250, 17.5785, 6
251, 24.8104, 8
252, 16.5047, 4
253, 13.638, 7
254, 12.6589, 185
255, 36.4398, 6
256, 47.2685, 7
257, 41.5033, 17
258, 36.2393, 5
259, 49.8056, 5
260, 21.126, 8
261, 13.3297, 13
262, 15.4896, 6
263, 24.754, 5
264, 27.8066, 5
265, 12.6002, 30
266, 13.9261, 10
267, 11.8477, 501
268, 16.8511, 7
269, 18.8222, 7
270, 37.0985, 5
271, 26.8265, 7
272, 19.6836, 6
273, 21.4724, 4
274, 20.4621, 7
275, 12.577, 15
276, 48.974, 4
277, 37.2044, 6
278, 22.0616, 3
279, 15.8864, 5
280, 40.7798, 2
281, 20.6383, 9
282, 14.8495, 17
283, 22.7887, 6
284, 14.5183, 18
285, 36.3274, 5
286, 53.6575, 9
287, 19.2007, 6
288, 13.476, 7
289, 12.0527, 5
290, 15.9905, 12
291, 36.6443, 9
292, 24.5563, 10
293, 16.1653, 5
294, 13.8053, 101
295, 29.735, 6
296, 34.8633, 7
297, 19.6485, 7
298, 34.9964, 4
299, 17.7066, 4
300, 13.4023, 6
301, 24.3024, 6
302, 13.5446, 2
303, 21.6908, 5
304, 17.1224, 3
305, 19.7487, 8
306, 24.6996, 10
307, 14.5094, 32
308, 24.7578, 13
309, 14.0755, 29
310, 17.9433, 15
311, 15.7601, 12
312, 19.2868, 5
313, 29.3015, 11
314, 17.866, 7
315, 38.4918, 14
316, 23.5052, 9
317, 19.2009, 7
318, 31.7486, 7
319, 24.1053, 9
320, 34.758, 11
321, 18.403, 73
322, 23.4603, 8
323, 19.5519, 11
324, 23.9414, 10
325, 31.8175, 14
326, 26.0783, 13
327, 30.1089, 15
328, 17.7499, 5
329, 24.0587, 5
330, 29.4542, 7
331, 20.6807, 10
332, 13.2741, 6
