#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 72.0779, 2331
2, 58.7728, 2814
3, 50.7702, 2433
4, 60.0567, 2791
5, 60.7473, 2709
6, 54.6956, 2877
7, 59.2, 2731
8, 46.7241, 2351
9, 62.7716, 2777
10, 48.8884, 2387
11, 51.1878, 3109
12, 59.0362, 2653
13, 59.0433, 2662
14, 65.5054, 2762
15, 49.0666, 2522
16, 49.9232, 2209
17, 49.168, 2288
18, 54.1349, 2478
19, 55.6871, 2507
20, 45.6718, 2210
21, 48.1084, 2284
22, 48.5307, 2329
23, 48.7279, 2299
24, 55.9458, 3037
25, 48.5515, 2265
26, 53.1628, 2519
27, 54.7238, 2517
28, 64.1462, 3239
29, 55.3959, 2612
30, 55.4531, 2561
31, 53.7577, 2504
32, 53.1534, 2461
33, 51.4767, 2380
34, 58.9073, 2628
35, 52.1344, 2244
36, 49.7752, 2341
37, 51.086, 2277
38, 59.0112, 2474
39, 47.8542, 2252
40, 48.9423, 2191
41, 57.5895, 2536
42, 66.9174, 2686
43, 51.7557, 2268
44, 50.7166, 2256
45, 52.1188, 2368
46, 61.0976, 2607
47, 60.9099, 2477
48, 49.216, 2084
49, 48.7642, 2490
50, 47.2274, 2471
51, 50.6386, 2164
52, 54.4562, 2385
53, 48.9645, 2270
54, 55.0448, 2502
55, 54.8688, 2390
56, 70.823, 3248
57, 51.9436, 2392
58, 50.095, 2311
59, 59.3814, 2417
60, 53.0572, 2348
61, 48.5032, 2295
62, 57.2761, 2278
63, 48.9019, 2125
64, 49.88, 2235
65, 53.1837, 2308
66, 51.7184, 2412
67, 46.5676, 2080
68, 48.443, 2115
69, 52.0432, 2344
70, 64.2621, 2613
71, 47.3105, 2078
72, 41.8584, 2006
73, 55.3403, 2301
74, 56.2927, 2400
75, 51.9257, 2359
76, 63.4282, 2536
77, 54.3691, 2403
78, 58.4207, 2434
79, 55.3784, 2247
80, 49.1608, 2266
81, 53.2884, 2247
82, 51.3887, 2242
83, 55.1938, 2271
84, 66.7519, 2841
85, 49.4166, 2156
86, 56.3576, 2379
87, 59.5205, 2353
88, 57.8124, 2452
89, 61.9901, 2537
90, 49.5216, 2233
91, 51.1796, 2084
92, 50.1012, 2052
93, 44.4812, 1922
94, 56.8474, 2392
95, 51.871, 2220
96, 57.7806, 2190
97, 57.2494, 2432
98, 76.883, 2785
99, 44.9667, 1975
100, 58.4262, 2408
101, 53.5514, 2179
102, 58.0236, 2476
103, 48.5217, 2116
104, 53.9245, 2259
105, 54.4266, 2211
106, 51.3917, 2143
107, 52.4386, 2271
108, 53.3811, 2515
109, 52.2237, 2184
110, 55.6958, 2171
111, 71.2686, 2735
