#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 72.1174, 225
2, 58.2311, 301
3, 50.3225, 263
4, 58.017, 270
5, 60.9815, 257
6, 49.2792, 292
7, 60.7551, 267
8, 45.8646, 211
9, 66.9573, 244
10, 51.4889, 178
11, 54.3894, 215
12, 60.92, 219
13, 57.1085, 245
14, 65.4311, 268
15, 50.6722, 211
16, 48.7714, 203
17, 50.6456, 189
18, 53.2162, 241
19, 59.0132, 264
20, 49.5518, 229
21, 49.5, 221
22, 46.4992, 232
23, 47.302, 211
24, 56.7003, 321
25, 51.5945, 246
26, 56.3169, 231
27, 54.8135, 253
28, 62.0459, 336
29, 52.7569, 258
30, 58.4907, 254
31, 52.5598, 241
32, 54.4104, 245
33, 54.3111, 234
34, 61.5373, 256
35, 58.2981, 232
36, 54.5952, 237
37, 48.4342, 227
38, 61.4137, 231
39, 45.9482, 218
40, 50.3891, 209
41, 59.379, 246
42, 74.5635, 286
43, 54.079, 247
44, 49.5449, 227
45, 51.6975, 233
46, 60.1852, 264
47, 58.034, 257
48, 53.1978, 215
49, 49.1686, 260
50, 47.7497, 259
51, 50.999, 236
52, 53.6013, 235
53, 50.7671, 200
54, 54.5189, 223
55, 58.4971, 212
56, 66.3139, 326
57, 57.8108, 239
58, 49.2502, 216
59, 64.8987, 212
60, 47.9946, 197
61, 51.5537, 208
62, 56.9306, 236
63, 49.3562, 229
64, 52.3072, 232
65, 54.3533, 227
66, 55.3699, 243
67, 49.2828, 201
68, 46.5529, 204
69, 51.9871, 241
70, 60.8652, 280
71, 46.6613, 220
72, 44.1865, 173
73, 53.9532, 211
74, 55.407, 233
75, 54.2734, 229
76, 62.7004, 235
77, 55.491, 186
78, 59.8099, 217
79, 60.2207, 209
80, 52.0474, 209
81, 51.3819, 215
82, 50.19, 191
83, 59.2603, 197
84, 69.854, 266
85, 54.5334, 176
86, 54.2469, 212
87, 60.5163, 208
88, 57.2158, 225
89, 58.8863, 238
90, 53.3268, 218
91, 55.4392, 209
92, 47.6307, 211
93, 47.324, 182
94, 60.981, 218
95, 56.2816, 205
96, 56.158, 208
97, 64.1032, 221
98, 77.7454, 296
99, 44.0803, 179
100, 60.7509, 207
101, 56.5916, 227
102, 64.3991, 252
