#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 85.5213, 397
2, 65.4233, 473
3, 55.5764, 388
4, 61.7404, 460
5, 66.234, 469
6, 62.6996, 465
7, 62.4374, 416
8, 50.6177, 367
9, 71.2749, 448
10, 53.674, 398
11, 66.082, 455
12, 60.3675, 455
13, 64.6812, 458
14, 67.5158, 492
15, 57.3202, 356
16, 56.0794, 382
17, 53.3638, 391
18, 58.7568, 440
19, 58.9703, 454
20, 51.5082, 402
21, 54.8557, 394
22, 53.5332, 411
23, 50.8435, 377
24, 58.7885, 520
25, 53.8861, 356
26, 59.5232, 375
27, 62.9396, 431
28, 73.6081, 600
29, 61.6187, 461
30, 63.9121, 448
31, 61.9841, 408
32, 56.8768, 415
33, 56.9506, 418
34, 65.6519, 434
35, 55.235, 356
36, 56.2997, 394
37, 58.5411, 401
38, 60.6888, 428
39, 51.7327, 370
40, 57.7854, 371
41, 61.7376, 441
42, 69.2981, 444
43, 55.9325, 375
44, 56.2858, 368
45, 56.379, 395
46, 65.6748, 431
47, 68.2837, 410
48, 50.5496, 376
49, 52.958, 449
50, 51.1554, 425
51, 55.6783, 376
52, 61.1839, 386
53, 51.7961, 316
54, 57.388, 390
55, 59.8967, 419
56, 67.343, 588
57, 56.701, 391
58, 55.2576, 408
59, 62.3308, 407
60, 57.6429, 338
61, 55.0955, 383
62, 60.0923, 398
63, 53.1107, 368
64, 54.0827, 379
65, 59.2472, 373
66, 53.584, 403
67, 50.9468, 354
68, 54.5855, 355
69, 55.9529, 402
70, 65.7349, 476
71, 49.2212, 356
72, 46.7279, 327
73, 57.9754, 382
74, 62.6246, 417
75, 55.7183, 396
76, 67.0858, 422
77, 60.368, 417
78, 63.4012, 420
79, 60.2446, 395
80, 55.0387, 382
81, 58.4278, 383
82, 57.3811, 369
83, 61.3208, 358
84, 62.9264, 507
85, 51.5522, 376
86, 65.0031, 410
87, 64.9402, 376
88, 61.3314, 414
89, 65.86, 447
90, 59.3412, 387
91, 57.4313, 377
92, 56.6569, 388
93, 50.6781, 368
94, 64.9185, 435
95, 58.9728, 332
96, 61.2037, 332
97, 61.1942, 391
98, 76.3667, 534
99, 50.5266, 342
100, 63.9806, 424
101, 58.2627, 384
102, 58.3739, 462
103, 52.1467, 362
104, 59.2578, 372
105, 56.12, 373
106, 55.1063, 356
107, 56.2117, 371
108, 59.1644, 437
109, 59.8194, 387
110, 60.6366, 366
111, 79.2642, 465
112, 60.0331, 384
113, 60.438, 359
