#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 67.4799, 3
2, 21.2195, 3
3, 26.3834, 4
4, 46.961, 3
5, 77.7104, 2
6, 60.8053, 2
7, 36.5385, 5
8, 82.1698, 1
9, 135.551, 1
10, 102.418, 1
11, 60.3187, 2
12, 41.0424, 3
13, 71.7963, 2
14, 37.2432, 6
15, 81.3774, 2
16, 58.8535, 2
17, 61.9665, 2
18, 153.373, 1
19, 43.8362, 2
20, 17.102, 2
21, 93.1447, 1
22, 60.6855, 2
23, 15.905, 1
24, 30.5263, 4
25, 61.5817, 2
26, 52.5667, 1
27, 130.444, 1
28, 21.7276, 10
29, 26.9647, 3
30, 10.8192, 1
31, 12.5968, 1
32, 0, 0
33, 73.003, 1
34, 72.6412, 2
35, 0, 0
36, 0, 0
37, 0, 0
38, 0, 0
39, 28.495, 1
40, 0, 0
41, 16.139, 1
42, 0, 0
43, 0, 0
44, 14.7534, 1
45, 11.4256, 1
46, 15.7308, 1
47, 13.5896, 1
48, 0, 0
49, 0, 0
50, 12.0107, 1
51, 0, 0
52, 25.5849, 1
53, 0, 0
54, 43.6939, 2
55, 15.3317, 2
56, 15.0127, 10
57, 0, 0
58, 0, 0
59, 18.8714, 1
60, 54.6335, 1
61, 30.9901, 1
62, 0, 0
63, 0, 0
64, 0, 0
65, 0, 0
66, 11.5142, 2
67, 17.8208, 1
68, 0, 0
69, 22.9484, 1
70, 12.4097, 10
71, 10.6285, 1
72, 0, 0
73, 21.7999, 1
74, 0, 0
75, 0, 0
76, 10.4718, 1
77, 31.6616, 1
78, 11.5786, 2
79, 58.468, 3
80, 68.7914, 3
81, 13.7375, 2
82, 0, 0
83, 60.0819, 2
84, 20.8154, 14
85, 35.4392, 1
86, 15.0522, 1
87, 23.0718, 1
88, 15.4305, 4
89, 16.2869, 3
90, 11.3613, 1
91, 19.9005, 3
92, 27.5983, 2
93, 0, 0
94, 25.0915, 1
95, 0, 0
96, 11.0714, 1
97, 27.9136, 1
98, 15.7975, 4
99, 25.0572, 1
100, 0, 0
101, 0, 0
102, 16.8484, 2
103, 20.3027, 3
104, 20.47, 4
105, 14.3134, 1
106, 22.1915, 2
107, 14.5152, 1
108, 13.2454, 1
109, 86.5803, 1
110, 10.8221, 2
111, 10.4289, 3
112, 0, 0
113, 0, 0
114, 0, 0
115, 36.2798, 1
116, 0, 0
117, 11.6733, 2
118, 0, 0
119, 0, 0
120, 0, 0
121, 0, 0
122, 21.2284, 3
123, 22.3905, 2
124, 14.7272, 6
125, 16.1307, 1
126, 10.6315, 1
127, 36.7564, 1
128, 20.8402, 2
129, 27.0622, 2
130, 26.1717, 1
131, 20.2075, 3
132, 23.7179, 2
133, 16.8236, 3
134, 30.675, 4
135, 16.6527, 2
136, 17.6541, 3
137, 16.1667, 1
138, 23.3568, 2
139, 0, 0
140, 29.7462, 1
201, 15.8322, 3
202, 13.4363, 1
203, 13.3429, 1
204, 0, 0
205, 32.1677, 1
206, 0, 0
207, 15.3758, 1
208, 42.4481, 1
209, 12.7518, 1
210, 12.6557, 1
211, 22.8262, 1
212, 0, 0
213, 36.2692, 1
214, 0, 0
215, 0, 0
216, 15.2501, 1
217, 0, 0
218, 18.9397, 1
219, 44.9072, 2
220, 0, 0
221, 19.4447, 3
222, 40.1387, 3
223, 24.47, 4
224, 17.1933, 1
225, 0, 0
226, 0, 0
227, 35.9317, 1
228, 12.1871, 1
229, 56.0426, 2
230, 57.7026, 2
231, 35.1668, 4
232, 0, 0
233, 15.2853, 1
234, 93.8302, 1
235, 76.745, 1
236, 38.4936, 1
237, 44.0596, 3
238, 83.2907, 1
239, 57.2506, 3
240, 39.3116, 14
241, 102.458, 1
242, 78.0868, 2
243, 56.3141, 2
244, 99.03, 1
245, 62.1388, 2
246, 29.0921, 2
247, 108.748, 1
248, 40.3718, 2
249, 52.2274, 1
250, 39.6866, 3
251, 43.2339, 2
252, 41.6462, 1
253, 46.2526, 2
254, 14.9956, 14
255, 27.0428, 1
256, 24.0708, 1
257, 0, 0
258, 0, 0
259, 0, 0
260, 0, 0
261, 19.9703, 1
262, 13.1068, 2
263, 57.3192, 1
264, 73.5629, 1
265, 13.7784, 1
266, 28.1451, 2
267, 29.5527, 3
268, 0, 0
269, 0, 0
270, 0, 0
271, 38.8789, 2
272, 21.6427, 3
273, 0, 0
274, 0, 0
275, 11.2553, 1
276, 12.2727, 1
277, 0, 0
278, 0, 0
279, 20.5948, 1
280, 31.1219, 2
281, 11.122, 1
282, 0, 0
283, 11.0146, 1
284, 0, 0
285, 28.9563, 2
286, 16.324, 1
287, 32.1638, 2
288, 18.5577, 1
289, 0, 0
290, 0, 0
291, 13.3041, 1
292, 11.433, 2
293, 46.836, 1
294, 10.7806, 4
295, 0, 0
296, 37.0757, 1
297, 15.6181, 2
298, 0, 0
299, 0, 0
300, 23.5872, 1
301, 14.3621, 1
302, 13.1035, 1
303, 42.3755, 1
304, 74.7143, 2
305, 46.5166, 1
306, 14.104, 1
307, 14.3538, 4
308, 0, 0
309, 18.0858, 3
310, 22.5349, 2
311, 0, 0
312, 17.3623, 2
313, 11.4166, 2
314, 0, 0
315, 13.9929, 2
316, 0, 0
317, 0, 0
318, 41.5961, 2
319, 25.6028, 4
320, 11.4291, 1
321, 13.7116, 1
322, 26.5293, 2
323, 0, 0
324, 12.1221, 1
325, 16.8902, 4
326, 23.3102, 2
327, 34.6077, 2
328, 16.5403, 1
329, 0, 0
330, 0, 0
331, 13.8558, 1
332, 31.1966, 3
