#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 76.6231, 2073
2, 61.0283, 2508
3, 51.5327, 2305
4, 58.9121, 2528
5, 62.0916, 2409
6, 56.3788, 2225
7, 61.5753, 2440
8, 46.5551, 2081
9, 64.6295, 2448
10, 49.1534, 2154
11, 60.4885, 2401
12, 60.0853, 2382
13, 60.7845, 2418
14, 66.1016, 2624
15, 53.5839, 2004
16, 51.5032, 2025
17, 49.1364, 2029
18, 56.3632, 2121
19, 57.3039, 2222
20, 43.2903, 1889
21, 49.4087, 2038
22, 51.422, 2130
23, 50.1243, 2035
24, 57.5155, 2716
25, 51.1365, 1978
26, 55.0354, 2089
27, 55.1864, 2195
28, 69.731, 2631
29, 55.293, 2105
30, 57.6142, 2126
31, 55.3689, 2188
32, 54.5118, 2200
33, 52.8607, 2152
34, 60.375, 2323
35, 52.5089, 2106
36, 52.9627, 2136
37, 52.1771, 1953
38, 58.7887, 2179
39, 49.3832, 2016
40, 50.9936, 2024
41, 59.2173, 2228
42, 67.0101, 2253
43, 52.0342, 2037
44, 51.4081, 2097
45, 52.609, 2185
46, 62.1624, 2422
47, 61.4215, 2363
48, 49.8851, 1942
49, 48.188, 2249
50, 49.3077, 2133
51, 51.6874, 1962
52, 56.6098, 2158
53, 49.7733, 2058
54, 53.6803, 2201
55, 56.9204, 2151
56, 73.7081, 2866
57, 53.3656, 2139
58, 50.6246, 2015
59, 58.1646, 2132
60, 55.0416, 2009
61, 50.5637, 2056
62, 56.5622, 2114
63, 49.5808, 1949
64, 50.1589, 1936
65, 53.3055, 2020
66, 53.4012, 2209
67, 46.8076, 1933
68, 49.6888, 1972
69, 25.8726, 6809
70, 64.9445, 2352
71, 48.521, 1821
72, 45.2885, 1702
73, 53.8651, 2018
74, 57.7092, 2123
75, 55.1685, 2001
76, 60.3649, 2158
77, 56.5119, 2060
78, 60.3247, 2213
79, 56.9419, 2079
80, 52.2112, 2038
81, 52.7311, 2054
82, 52.4104, 1928
83, 55.5526, 1975
84, 68.5762, 2475
85, 52.7167, 1873
86, 57.4977, 2008
87, 59.8993, 1981
88, 60.9659, 2098
89, 62.5657, 2286
90, 53.1103, 1991
91, 51.4677, 1896
92, 50.3735, 1910
93, 44.858, 1746
94, 61.61, 2074
95, 53.5738, 1874
96, 56.3972, 1947
97, 59.6275, 2116
98, 74.5344, 2448
99, 46.0473, 1601
100, 57.8079, 2086
101, 56.1999, 1874
102, 60.6592, 2166
103, 50.2055, 1881
