#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 77.7495, 247
2, 66.6926, 306
3, 51.8659, 290
4, 59.2433, 300
5, 63.9207, 255
6, 58.9075, 284
7, 59.1215, 280
8, 48.5905, 226
9, 65.5481, 262
10, 51.9931, 242
11, 61.8166, 289
12, 58.6564, 284
13, 61.6966, 273
14, 65.7111, 300
15, 54.117, 235
16, 50.093, 225
17, 53.5176, 210
18, 56.0533, 209
19, 55.9301, 257
20, 41.0945, 227
21, 53.8132, 226
22, 51.1442, 244
23, 46.3808, 225
24, 61.5646, 310
25, 51.5708, 233
26, 54.7587, 259
27, 58.3841, 261
28, 62.2936, 316
29, 52.997, 243
30, 62.084, 282
31, 61.5297, 257
32, 49.8615, 243
33, 54.1323, 251
34, 65.7758, 269
35, 51.0162, 243
36, 55.5329, 222
37, 52.1415, 237
38, 59.7592, 269
39, 50.8877, 245
40, 54.2524, 229
41, 60.0517, 228
42, 70.9894, 260
43, 52.1346, 247
44, 54.8217, 246
45, 54.0445, 257
46, 61.5385, 275
47, 61.3325, 283
48, 49.307, 217
49, 52.9886, 241
50, 49.0103, 251
51, 52.194, 230
52, 56.4484, 249
53, 47.7432, 251
54, 58.7169, 257
55, 54.5245, 222
56, 66.1894, 310
57, 58.7579, 231
58, 50.3053, 245
59, 59.8165, 264
60, 52.6373, 249
61, 50.8258, 230
62, 59.908, 236
63, 51.8287, 219
64, 55.2374, 231
65, 52.1407, 247
66, 55.3488, 260
67, 47.6865, 230
68, 50.7005, 216
69, 53.1088, 239
70, 69.2294, 260
71, 50.0006, 220
72, 42.1465, 200
73, 56.5015, 227
74, 57.8759, 257
75, 55.4576, 261
76, 65.4572, 276
77, 61.0385, 240
78, 62.0854, 260
79, 57.5599, 247
80, 50.4799, 224
81, 50.9528, 221
82, 52.2564, 227
83, 64.0821, 219
84, 58.7794, 279
85, 53.7486, 185
86, 56.786, 219
87, 60.1777, 216
88, 60.7097, 240
89, 67.532, 249
90, 49.1343, 219
91, 55.3256, 218
92, 51.4331, 215
93, 48.2081, 183
94, 65.229, 212
95, 54.715, 237
96, 61.0853, 219
97, 55.1792, 230
98, 71.3118, 282
99, 45.7795, 185
100, 58.6899, 254
101, 57.6716, 230
102, 64.7485, 281
103, 50.211, 217
104, 64.1586, 242
105, 52.6184, 238
106, 53.2381, 210
107, 54.1122, 228
108, 57.4777, 247
109, 54.5832, 227
110, 53.7995, 228
111, 69.4228, 318
112, 57.4154, 243
113, 53.846, 244
114, 52.2431, 208
115, 62.4334, 228
116, 47.9177, 225
117, 56.2353, 206
118, 52.3826, 207
119, 48.1003, 190
120, 57.1544, 227
121, 58.2204, 220
122, 53.7255, 213
123, 52.0482, 193
124, 59.6979, 290
125, 48.8473, 218
126, 40.5195, 174
127, 47.0181, 212
128, 58.7225, 256
129, 50.2867, 242
130, 49.93, 251
131, 52.0316, 233
132, 54.3893, 232
133, 53.1732, 188
134, 52.1792, 211
135, 58.818, 234
136, 58.3502, 227
137, 54.0373, 234
138, 58.0762, 281
139, 47.7231, 227
140, 53.3004, 163
201, 63.1271, 228
202, 55.6782, 300
203, 53.0362, 313
204, 48.2646, 277
205, 47.5907, 295
206, 47.7396, 277
207, 43.4107, 275
208, 47.9547, 277
209, 46.5025, 236
210, 45.7022, 264
211, 42.3173, 236
212, 49.6004, 259
213, 49.6656, 286
214, 47.9595, 266
215, 46.7505, 223
216, 56.366, 242
217, 52.696, 242
218, 48.6799, 261
219, 44.5372, 268
220, 49.6654, 278
221, 48.6941, 234
222, 42.8344, 239
223, 56.2814, 255
224, 46.2192, 251
225, 49.7443, 253
226, 61.3269, 290
227, 58.5731, 244
228, 52.2218, 255
229, 44.5666, 245
230, 54.9191, 243
231, 49.0288, 241
232, 52.83, 255
233, 49.2266, 239
234, 47.0672, 238
235, 41.68, 216
236, 47.8882, 211
237, 54.9503, 235
238, 52.3257, 249
239, 50.6654, 247
240, 63.0293, 387
241, 48.5984, 273
242, 52.8193, 280
243, 45.3125, 251
244, 52.9617, 234
245, 49.0728, 276
246, 52.6817, 261
247, 51.1749, 218
248, 45.4467, 214
249, 40.4946, 211
250, 45.2515, 230
251, 51.1238, 236
252, 50.9848, 232
253, 51.1837, 255
254, 64.9298, 340
255, 54.7038, 224
256, 44.4631, 227
257, 56.2967, 216
258, 44.4136, 210
259, 50.4181, 207
260, 55.5354, 249
261, 51.9282, 287
262, 53.1995, 240
263, 49.2595, 234
264, 52.3363, 241
265, 54.9205, 263
266, 48.3039, 235
267, 68.6951, 321
268, 45.4208, 239
269, 50.1753, 239
270, 59.9098, 254
271, 58.2562, 285
272, 48.3258, 238
273, 59.3175, 243
274, 49.5891, 236
275, 51.8464, 241
276, 49.6857, 213
277, 54.6484, 222
278, 50.8571, 226
279, 53.5977, 232
280, 55.49, 240
281, 51.5742, 246
282, 54.0201, 264
283, 43.1462, 205
284, 48.6104, 232
285, 50.0837, 202
286, 51.2855, 223
287, 54.4365, 216
288, 55.4702, 227
289, 48.6348, 198
290, 50.8937, 223
291, 54.205, 224
292, 51.85, 227
293, 58.205, 217
294, 69.3403, 294
295, 48.9528, 225
296, 49.6357, 213
