#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 77.9303, 188
2, 63.6527, 242
3, 55.4548, 220
4, 61.484, 250
5, 63.5873, 247
6, 57.7445, 251
7, 57.6329, 239
8, 46.3089, 195
9, 56.4893, 221
10, 51.2745, 183
11, 57.153, 232
12, 64.9557, 219
13, 59.9725, 201
14, 69.2664, 222
15, 47.2255, 212
16, 56.9274, 208
17, 51.8528, 211
18, 56.6405, 204
19, 60.2366, 188
20, 45.7222, 149
21, 53.204, 201
22, 52.773, 209
23, 50.7495, 179
24, 57.9169, 244
25, 48.8273, 213
26, 45.6971, 291
27, 60.8317, 190
28, 75.9692, 220
29, 55.7012, 214
30, 57.2945, 220
31, 57.7016, 207
32, 56.2872, 214
33, 53.9064, 202
34, 60.8857, 223
35, 51.5549, 181
36, 54.5887, 172
37, 48.7408, 167
38, 59.5676, 182
39, 53.5719, 163
40, 51.6575, 189
41, 58.8678, 232
42, 70.4902, 218
43, 50.3266, 205
44, 55.0658, 210
45, 53.3681, 199
46, 62.0221, 216
47, 66.1926, 219
48, 54.4477, 170
49, 49.3394, 195
50, 48.0143, 190
51, 51.8279, 190
52, 59.7735, 206
53, 48.2141, 179
54, 53.5898, 193
55, 56.2221, 205
56, 75.015, 278
57, 54.4213, 194
58, 50.7432, 176
59, 58.5519, 176
60, 55.052, 177
61, 52.4717, 207
62, 58.7086, 214
63, 51.6809, 194
64, 52.7642, 186
65, 55.6532, 212
66, 52.2356, 222
67, 47.4203, 179
68, 54.6325, 182
69, 54.1763, 207
70, 66.4276, 212
71, 50.722, 166
72, 47.0019, 160
73, 57.8741, 201
74, 60.7389, 217
75, 55.8698, 201
76, 61.7704, 226
77, 53.9033, 212
78, 62.1873, 216
79, 58.8913, 203
80, 51.7694, 210
81, 54.1335, 225
82, 53.9959, 211
83, 59.1305, 198
84, 69.7837, 232
85, 49.6577, 196
86, 64.2865, 215
87, 57.2206, 212
88, 64.9555, 223
89, 64.0917, 242
90, 53.3002, 188
91, 50.5341, 183
92, 46.4174, 167
93, 47.2043, 155
94, 55.7804, 179
95, 52.3656, 177
96, 56.6936, 185
97, 57.4741, 198
98, 80.1069, 231
99, 47.468, 171
100, 60.5061, 216
101, 62.4237, 186
102, 60.8208, 210
103, 51.9353, 156
104, 54.7209, 166
105, 57.2595, 162
106, 54.3684, 181
107, 54.6691, 187
108, 60.6601, 192
109, 49.7039, 204
110, 66.8153, 178
111, 69.8722, 225
112, 54.0545, 175
113, 53.6726, 176
114, 50.2791, 183
115, 59.9342, 161
116, 46.7771, 163
117, 56.0877, 152
118, 54.1421, 171
119, 43.7115, 158
120, 57.3369, 202
121, 56.0873, 207
122, 57.6894, 198
123, 55.3758, 187
124, 68.8773, 217
125, 48.302, 147
126, 37.6979, 134
127, 49.0047, 180
128, 57.9788, 213
129, 49.5903, 188
130, 51.5165, 168
131, 53.7069, 182
132, 54.1418, 198
133, 51.8968, 172
134, 57.1369, 181
135, 54.0175, 183
136, 54.9468, 181
137, 51.303, 174
138, 58.4858, 210
139, 52.0605, 164
140, 51.0964, 132
201, 60.4947, 181
202, 57.2039, 217
203, 52.7619, 237
204, 46.1978, 235
205, 46.7704, 255
206, 47.9229, 236
207, 43.7137, 208
208, 49.5156, 214
209, 44.9853, 213
210, 47.9405, 221
211, 46.8281, 207
212, 53.261, 217
213, 54.8352, 200
214, 50.1311, 226
215, 48.8247, 239
216, 49.597, 237
217, 50.5909, 212
218, 47.0948, 193
219, 44.3471, 202
220, 54.2978, 218
221, 46.2959, 192
222, 42.9907, 179
223, 53.8851, 194
224, 52.3657, 219
225, 49.3606, 219
226, 56.0557, 247
227, 56.0835, 239
228, 50.3422, 221
229, 47.0236, 201
230, 48.042, 205
231, 50.4886, 209
232, 50.7322, 214
233, 44.4915, 192
234, 51.1786, 181
235, 44.8151, 170
236, 48.979, 185
237, 49.3635, 199
238, 54.77, 188
