#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 77.4894, 2092
2, 63.6218, 2544
3, 52.8741, 2390
4, 62.7148, 2541
5, 63.5521, 2421
6, 55.9857, 2367
7, 63.1648, 2304
8, 48.41, 1963
9, 67.1999, 2452
10, 52.3211, 2050
11, 59.5786, 2606
12, 62.8609, 2497
13, 64.1549, 2554
14, 71.0227, 2687
15, 56.0364, 2032
16, 52.7134, 2119
17, 53.4007, 2138
18, 58.047, 2258
19, 59.2552, 2314
20, 47.5602, 1860
21, 52.5018, 2027
22, 53.4336, 2092
23, 51.6137, 2035
24, 61.0285, 2689
25, 50.6146, 2041
26, 57.573, 2272
27, 57.1188, 2320
28, 69.851, 2811
29, 56.919, 2261
30, 59.76, 2303
31, 56.0624, 2354
32, 57.5605, 2297
33, 53.5413, 2279
34, 63.522, 2388
35, 55.4885, 2138
36, 54.8616, 2180
37, 54.9453, 2122
38, 62.4155, 2275
39, 52.1046, 2016
40, 53.5229, 2040
41, 62.3927, 2359
42, 71.8627, 2495
43, 54.891, 2103
44, 54.52, 2089
45, 54.5074, 2107
46, 66.0343, 2307
47, 65.3622, 2341
48, 52.101, 1951
49, 53.763, 2252
50, 49.2318, 2236
51, 54.4659, 1932
52, 59.3833, 2086
53, 52.3721, 1971
54, 56.2112, 2177
55, 56.8039, 2083
56, 76.1955, 2908
57, 56.8655, 2124
58, 52.7653, 2070
59, 63.0509, 2192
60, 57.278, 2086
61, 52.994, 2096
62, 58.3187, 2125
63, 52.5589, 2016
64, 54.0861, 2063
65, 57.214, 2138
66, 55.2706, 2357
67, 50.1994, 1959
68, 52.2397, 1929
69, 56.2123, 2176
70, 65.2987, 2418
71, 49.9969, 1941
72, 46.5507, 1946
73, 59.2583, 2190
74, 59.7536, 2198
75, 57.4442, 2095
76, 66.1398, 2224
77, 58.5368, 2078
78, 62.9884, 2272
79, 59.0027, 2148
80, 54.4682, 2000
81, 55.8879, 2095
82, 55.4307, 2147
83, 60.3567, 2210
84, 70.6745, 2741
85, 52.4142, 2054
86, 60.2404, 2208
87, 64.2675, 2187
88, 62.7293, 2299
89, 64.7911, 2287
90, 54.6503, 1972
91, 54.69, 1900
92, 52.8493, 1892
93, 47.3968, 1683
94, 67.341, 1865
95, 55.7526, 1884
96, 57.6357, 1861
97, 62.8968, 2033
98, 80.0809, 2530
99, 48.4337, 1678
100, 60.6629, 2058
101, 59.2581, 1917
102, 61.9233, 2345
103, 52.9796, 1893
104, 56.2207, 2055
105, 57.488, 1964
106, 53.0064, 1896
107, 54.8967, 1989
108, 63.1146, 1967
109, 56.3107, 2015
110, 59.384, 1903
111, 78.0223, 2359
112, 57.1385, 1969
113, 55.5755, 1981
114, 52.8598, 1839
115, 62.472, 1955
116, 53.4086, 1812
117, 53.8241, 1846
118, 57.703, 1894
119, 46.0519, 1725
120, 57.8279, 2077
121, 58.7557, 1958
122, 59.4204, 1924
123, 55.8955, 1852
124, 66.4845, 2410
125, 53.5697, 1745
126, 41.6655, 1505
127, 51.0211, 1897
128, 57.5841, 2209
129, 51.3429, 2023
130, 52.0033, 2049
131, 54.1684, 1834
132, 58.6383, 1985
133, 50.9815, 1768
134, 54.7194, 1910
135, 58.7707, 2017
136, 57.3349, 1923
137, 55.3457, 1882
138, 62.8935, 2239
139, 50.986, 1842
140, 53.6895, 1432
201, 62.2992, 2061
202, 54.8388, 2590
203, 54.8275, 2692
204, 49.0655, 2443
205, 50.7126, 2442
206, 47.4109, 2385
207, 47.4578, 2207
208, 50.7643, 2344
209, 46.837, 2138
210, 48.2938, 2257
211, 46.716, 2108
212, 53.912, 2151
213, 52.1549, 2396
214, 51.2794, 2392
215, 49.9617, 2236
216, 52.8745, 2272
217, 49.7494, 2329
218, 49.1672, 2267
219, 49.0586, 2174
220, 51.9238, 2415
221, 48.2751, 2265
222, 49.2607, 2294
223, 54.9404, 2304
224, 51.7945, 2261
225, 52.3944, 2355
226, 59.7, 2597
227, 54.2665, 2337
228, 51.2876, 2285
229, 47.74, 2170
230, 56.0524, 2282
231, 50.6118, 2121
232, 54.7041, 2151
233, 53.2578, 2062
234, 51.8063, 2063
235, 45.341, 1870
236, 50.2548, 2062
237, 54.9794, 2278
238, 52.9474, 2304
239, 52.9644, 2349
240, 64.519, 3254
241, 49.9498, 2109
242, 52.2633, 2192
243, 51.174, 2054
244, 50.8367, 2013
245, 52.3908, 2063
246, 53.1641, 2068
247, 52.1429, 1992
248, 47.2871, 1889
249, 42.9604, 1819
250, 47.4408, 1962
251, 52.0679, 2014
252, 47.8634, 2002
253, 53.8128, 2080
254, 67.2021, 3095
255, 55.7803, 2178
256, 47.6877, 1923
257, 53.5654, 2119
258, 49.3403, 2223
259, 51.8517, 2122
260, 56.7876, 2237
261, 54.1942, 2417
262, 54.0545, 1969
263, 49.9536, 2078
264, 56.9587, 1900
265, 53.5189, 2335
266, 49.8893, 2021
267, 62.3448, 3345
268, 47.7343, 2055
269, 51.6301, 1879
270, 57.2479, 2015
271, 62.0375, 2163
272, 48.3321, 1870
273, 54.8734, 1899
274, 53.0593, 1930
275, 57.7046, 2097
276, 52.8505, 1870
277, 56.9294, 1938
278, 52.4613, 1915
279, 51.3214, 1876
280, 56.761, 1988
281, 51.9857, 2062
282, 55.7027, 2298
283, 49.5884, 2005
284, 52.8586, 2285
285, 51.476, 1943
286, 53.5231, 2034
287, 53.1537, 1950
288, 55.6485, 2005
289, 50.0162, 1956
290, 52.9412, 2005
291, 56.2392, 2108
292, 54.5342, 2065
293, 58.6793, 2173
294, 71.6266, 2882
295, 51.964, 1858
296, 48.2853, 1826
297, 54.7372, 1965
298, 50.2261, 1855
299, 53.3267, 1919
300, 51.6229, 1802
301, 53.074, 1827
302, 50.8004, 1784
303, 44.6436, 1596
304, 52.1785, 1855
305, 51.0275, 1835
306, 53.5905, 1837
307, 60.2961, 2349
308, 54.4898, 2192
309, 53.4773, 2172
310, 50.6579, 2109
311, 51.261, 1875
312, 53.51, 1830
313, 56.0451, 1878
314, 53.3508, 1790
315, 58.5547, 2082
316, 49.1635, 1913
317, 54.3674, 1991
318, 51.4946, 1829
319, 50.5678, 1948
320, 57.0777, 2062
321, 69.5099, 2410
322, 53.9412, 1932
323, 50.5508, 1883
324, 52.1533, 1949
325, 56.8767, 2055
326, 52.8036, 1926
327, 60.2493, 2120
328, 50.4259, 1919
329, 50.9778, 1922
330, 52.5112, 1921
331, 53.1333, 1974
332, 56.439, 1539
