#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 52.8873, 22
2, 47.2688, 30
3, 46.7249, 30
4, 62.4119, 27
5, 52.5446, 31
6, 64.0083, 33
7, 55.1795, 29
8, 41.5841, 14
9, 55.8535, 21
10, 53.2814, 19
11, 44.722, 30
12, 78.0186, 29
13, 57.261, 28
14, 59.8635, 31
15, 64.7088, 25
16, 49.8463, 28
17, 41.4582, 24
18, 60.0323, 35
19, 44.4767, 36
20, 47.9225, 27
21, 46.0213, 26
22, 66.0819, 27
23, 44.6527, 29
24, 61.0548, 29
25, 52.2504, 20
26, 57.9717, 24
27, 60.7702, 22
28, 56.1185, 23
29, 44.8844, 22
30, 65.7072, 25
31, 57.8652, 29
32, 48.2648, 29
33, 48.6676, 30
34, 68.1695, 36
35, 49.4259, 29
36, 66.1938, 33
37, 57.593, 32
38, 55.4127, 40
39, 47.2537, 30
40, 53.6948, 30
41, 61.1346, 32
42, 66.2006, 35
43, 48.8, 30
44, 44.1809, 29
45, 65.8182, 20
46, 55.3923, 23
47, 68.8323, 20
48, 51.3132, 18
49, 45.1415, 26
50, 39.7147, 29
51, 68.2773, 32
52, 48.694, 38
53, 44.7592, 28
54, 46.9534, 26
55, 50.6593, 18
56, 75.3013, 29
57, 54.0817, 26
58, 58.2556, 31
59, 49.5671, 28
60, 54.2618, 21
61, 52.7893, 24
62, 43.635, 25
63, 45.2873, 22
64, 52.999, 22
65, 63.5102, 24
66, 44.5068, 25
67, 47.3063, 23
68, 43.7646, 20
69, 64.8929, 23
70, 83.3678, 26
71, 33.6737, 21
72, 42.1475, 17
73, 55.3754, 24
74, 60.4092, 24
75, 60.7021, 17
76, 55.4483, 20
77, 61.4141, 27
78, 59.7998, 27
79, 54.0073, 22
80, 47.9382, 22
81, 56.408, 23
82, 39.1285, 21
83, 77.0535, 18
84, 69.2025, 29
85, 67.5377, 22
86, 43.579, 30
87, 44.1796, 23
88, 59.8041, 30
89, 69.3061, 36
90, 59.8419, 35
91, 53.8315, 31
92, 26.0453, 69
93, 41.7067, 30
94, 57.1733, 38
95, 60.217, 25
96, 72.5916, 29
97, 66.5609, 31
98, 74.8207, 31
99, 52.3719, 18
100, 49.7224, 28
101, 64.8696, 31
102, 76.1071, 35
103, 53.4181, 29
104, 38.4821, 28
105, 64.3781, 20
106, 42.9729, 24
107, 60.2524, 25
108, 56.9102, 34
109, 61.7301, 34
110, 52.7387, 30
111, 86.0925, 31
112, 51.5899, 23
113, 58.3623, 19
114, 49.8994, 14
115, 44.5006, 20
116, 52.7962, 21
117, 44.0091, 23
118, 62.4337, 24
119, 49.1074, 15
120, 54.4481, 23
121, 49.646, 27
122, 75.7946, 28
123, 53.4627, 22
124, 59.7416, 30
125, 43.5538, 21
126, 39.8265, 15
127, 48.3644, 24
128, 54.3739, 23
129, 36.3855, 21
130, 61.7615, 17
131, 53.9082, 18
132, 57.5998, 26
133, 44.6685, 22
134, 58.3964, 18
135, 64.1773, 20
136, 50.5302, 29
137, 59.4698, 22
138, 48.8857, 19
139, 61.1264, 16
140, 52.8053, 16
201, 62.9205, 19
202, 57.2919, 29
203, 52.0492, 33
204, 43.0523, 36
205, 40.0365, 38
206, 43.8253, 34
207, 44.1482, 32
208, 52.7781, 36
209, 54.1012, 26
210, 49.8742, 22
211, 38.0282, 21
212, 39.6193, 30
213, 50.2302, 32
214, 59.9368, 28
215, 47.89, 26
216, 46.8711, 23
217, 45.2968, 23
218, 53.988, 29
219, 35.9479, 35
220, 61.8853, 30
221, 53.7672, 26
222, 45.9415, 27
223, 53.3835, 30
224, 48.7933, 28
225, 54.828, 29
226, 63.674, 35
227, 48.251, 35
228, 62.0072, 26
229, 41.9199, 32
230, 50.666, 33
231, 47.6311, 28
232, 50.5614, 31
233, 45.5802, 30
234, 53.8365, 25
235, 46.4112, 19
236, 50.2851, 19
237, 52.6113, 26
238, 59.4249, 27
239, 44.0954, 32
240, 63.6888, 40
241, 64.302, 20
242, 51.6453, 27
243, 58.9634, 22
244, 50.4707, 22
245, 52.5396, 27
246, 49.3209, 30
247, 53.6993, 29
248, 41.2799, 17
249, 44.6412, 17
250, 38.4671, 15
251, 56.1324, 16
252, 57.3561, 21
253, 44.7527, 23
254, 51.8353, 35
255, 51.7917, 31
256, 49.8415, 30
257, 48.2976, 24
258, 50.6895, 21
259, 48.7602, 23
260, 70.1097, 24
261, 45.8466, 30
262, 61.4651, 27
263, 45.4095, 31
264, 64.9521, 24
265, 53.2918, 29
266, 62.2718, 27
267, 55.8438, 34
268, 37.5773, 23
269, 48.9595, 22
270, 71.3947, 19
271, 44.2314, 30
272, 44.8538, 21
273, 64.2902, 16
274, 61.623, 16
275, 50.2874, 20
276, 56.6639, 21
277, 61.7359, 23
278, 48.9199, 19
279, 45.5302, 28
280, 57.3142, 29
281, 52.9188, 23
282, 54.7965, 20
283, 34.4859, 17
284, 38.0772, 19
285, 44.5118, 21
286, 49.3503, 25
287, 42.4541, 24
288, 56.4876, 25
289, 45.8833, 19
290, 57.3663, 16
291, 60.5428, 20
292, 50.0368, 24
293, 50.1589, 26
294, 66.0602, 39
295, 43.9687, 24
296, 59.923, 26
297, 53.5693, 29
298, 53.8617, 20
299, 45.4515, 22
300, 37.4305, 22
301, 45.6448, 25
302, 49.7264, 23
303, 57.1684, 17
304, 50.9258, 22
305, 48.4153, 25
306, 62.7791, 19
307, 46.7425, 28
308, 52.3053, 26
309, 58.4827, 28
310, 55.4151, 23
311, 46.589, 21
312, 59.7928, 24
313, 48.6907, 24
314, 58.1978, 25
315, 60.8456, 29
316, 45.8582, 23
317, 52.4169, 26
318, 54.1335, 27
319, 55.0863, 29
320, 58.9165, 28
321, 54.3454, 35
322, 46.4246, 24
323, 45.6406, 24
324, 41.1415, 29
325, 66.5359, 24
326, 46.5741, 23
327, 56.1354, 20
328, 43.8945, 20
329, 46.6486, 24
330, 56.0516, 26
331, 38.4095, 23
332, 55.3438, 22
