#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 14.7367, 2
2, 21.0603, 2
3, 0, 0
4, 14.4891, 1
5, 0, 0
6, 0, 0
7, 27.6823, 1
8, 0, 0
9, 0, 0
10, 0, 0
11, 0, 0
12, 12.0481, 1
13, 0, 0
14, 0, 0
15, 0, 0
16, 0, 0
17, 17.8101, 1
18, 66.4759, 1
19, 41.5078, 2
20, 44.4708, 3
21, 64.7235, 1
22, 51.2261, 1
23, 15.5505, 1
24, 11.6381, 1
25, 0, 0
26, 0, 0
27, 0, 0
28, 10.8445, 1
29, 0, 0
30, 0, 0
31, 52.425, 2
32, 17.016, 2
33, 0, 0
34, 128.987, 1
35, 99.8667, 1
36, 0, 0
37, 0, 0
38, 0, 0
39, 0, 0
40, 0, 0
41, 0, 0
42, 36.6552, 1
43, 0, 0
44, 0, 0
45, 0, 0
46, 12.4056, 1
47, 0, 0
48, 0, 0
49, 0, 0
50, 0, 0
51, 26.4138, 1
52, 0, 0
53, 15.224, 1
54, 0, 0
55, 0, 0
56, 12.8527, 6
57, 20.1479, 3
58, 0, 0
59, 0, 0
60, 0, 0
61, 29.9513, 1
62, 0, 0
63, 0, 0
64, 0, 0
65, 0, 0
66, 0, 0
67, 0, 0
68, 0, 0
69, 29.6805, 1
70, 13.4966, 4
71, 13.9931, 1
72, 0, 0
73, 14.1696, 2
74, 0, 0
75, 0, 0
76, 36.344, 2
77, 15.8959, 1
78, 11.9778, 1
79, 12.1638, 2
80, 0, 0
81, 0, 0
82, 0, 0
83, 0, 0
84, 33.5747, 2
85, 0, 0
86, 18.2259, 1
87, 0, 0
88, 10.3331, 1
89, 0, 0
90, 0, 0
91, 0, 0
92, 0, 0
93, 0, 0
94, 63.2678, 2
95, 27.3172, 4
96, 32.0114, 2
97, 21.6389, 1
98, 0, 0
99, 0, 0
100, 23.305, 1
101, 67.465, 1
102, 12.317, 2
103, 0, 0
104, 0, 0
105, 0, 0
106, 0, 0
107, 11.7695, 1
108, 0, 0
109, 0, 0
110, 14.5709, 1
111, 10.3459, 1
112, 0, 0
113, 0, 0
114, 0, 0
115, 0, 0
116, 0, 0
117, 0, 0
118, 0, 0
119, 14.2471, 2
120, 25.6222, 2
121, 17.6383, 1
122, 0, 0
123, 0, 0
124, 0, 0
125, 0, 0
126, 0, 0
127, 0, 0
128, 0, 0
129, 10.8827, 1
130, 0, 0
131, 0, 0
132, 10.3765, 1
133, 11.0316, 1
134, 10.7375, 1
135, 15.433, 3
136, 13.2522, 2
137, 23.1233, 2
138, 20.6964, 2
139, 12.1184, 1
140, 0, 0
201, 0, 0
202, 0, 0
203, 0, 0
204, 0, 0
205, 14.2907, 1
206, 0, 0
207, 0, 0
208, 23.0618, 1
209, 0, 0
210, 0, 0
211, 0, 0
212, 0, 0
213, 15.4081, 1
214, 0, 0
215, 65.4854, 1
216, 10.172, 1
217, 0, 0
218, 0, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 29.9737, 1
223, 15.1481, 1
224, 0, 0
225, 15.0421, 1
226, 0, 0
227, 13.7498, 1
228, 43.9613, 1
229, 20.1308, 1
230, 0, 0
231, 0, 0
232, 11.8184, 1
233, 34.4969, 1
234, 31.5904, 1
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 21.7601, 1
240, 35.3848, 5
241, 68.5427, 2
242, 12.9285, 4
243, 14.8796, 1
244, 0, 0
245, 0, 0
246, 12.007, 1
247, 24.9468, 1
248, 0, 0
249, 13.5486, 1
250, 0, 0
251, 0, 0
252, 0, 0
253, 84.2458, 1
254, 10.5453, 5
255, 0, 0
256, 0, 0
257, 11.3292, 1
258, 12.7565, 1
259, 13.8735, 1
260, 0, 0
261, 0, 0
262, 0, 0
263, 0, 0
264, 0, 0
265, 0, 0
266, 0, 0
267, 0, 0
268, 0, 0
269, 0, 0
270, 0, 0
271, 13.0846, 3
272, 11.3032, 2
273, 0, 0
274, 0, 0
275, 0, 0
276, 0, 0
277, 17.7087, 1
278, 10.8267, 1
279, 10.9371, 1
280, 0, 0
281, 0, 0
282, 0, 0
283, 0, 0
284, 28.6152, 2
285, 0, 0
286, 10.2732, 1
287, 0, 0
288, 17.1649, 1
289, 0, 0
290, 0, 0
291, 0, 0
292, 0, 0
293, 0, 0
294, 14.9541, 3
295, 0, 0
296, 0, 0
297, 0, 0
298, 0, 0
299, 10.5579, 1
300, 0, 0
301, 0, 0
302, 14.6556, 1
303, 15.2163, 1
304, 0, 0
305, 0, 0
306, 11.0119, 1
307, 0, 0
308, 0, 0
309, 10.1425, 1
310, 28.6959, 1
311, 0, 0
312, 35.5837, 2
313, 45.6722, 2
314, 36.6736, 2
315, 17.0561, 2
316, 40.4314, 1
317, 0, 0
318, 0, 0
319, 0, 0
320, 12.3138, 1
321, 11.7166, 5
322, 52.5824, 2
323, 12.4842, 2
324, 70.7037, 1
325, 12.6924, 1
326, 12.1802, 1
327, 0, 0
328, 11.8279, 1
329, 0, 0
330, 0, 0
331, 0, 0
332, 13.7307, 1
