#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 83.9409, 247
2, 70.2235, 326
3, 54.9001, 302
4, 63.6162, 322
5, 59.983, 312
6, 59.223, 339
7, 65.0714, 327
8, 52.3254, 259
9, 68.3587, 316
10, 54.3181, 262
11, 60.381, 294
12, 61.0342, 301
13, 66.5154, 288
14, 72.8719, 294
15, 59.6553, 236
16, 56.1123, 265
17, 51.2139, 265
18, 62.4265, 258
19, 59.3979, 244
20, 46.8483, 210
21, 56.0221, 239
22, 58.184, 250
23, 53.0219, 255
24, 62.9633, 355
25, 53.0666, 277
26, 58.1721, 287
27, 58.4744, 283
28, 68.8924, 372
29, 60.6837, 288
30, 61.2485, 322
31, 59.0454, 316
32, 60.8755, 303
33, 57.2162, 266
34, 65.9022, 287
35, 58.5958, 243
36, 60.4267, 268
37, 51.7874, 273
38, 59.85, 265
39, 53.8211, 229
40, 55.0244, 228
41, 62.6572, 280
42, 75.9198, 316
43, 58.2305, 267
44, 54.6309, 251
45, 56.2213, 252
46, 69.4192, 275
47, 72.5732, 276
48, 57.2939, 244
49, 54.5711, 288
50, 51.0998, 284
51, 59.5356, 262
52, 58.2819, 282
53, 55.264, 242
54, 59.2762, 272
55, 63.5476, 253
56, 69.7694, 359
57, 56.1555, 271
58, 52.658, 271
59, 65.428, 282
60, 61.0586, 240
61, 56.05, 280
62, 68.8278, 257
63, 52.1193, 221
64, 51.1271, 221
65, 56.7274, 265
66, 53.6493, 270
67, 52.0516, 233
68, 53.4602, 251
69, 57.9308, 289
70, 67.0788, 337
71, 51.7989, 257
72, 48.3061, 228
73, 60.9416, 288
74, 66.9089, 279
75, 57.9624, 243
76, 69.7136, 266
77, 62.8907, 257
78, 62.504, 302
79, 60.7913, 248
80, 58.0306, 241
81, 56.1567, 251
82, 60.7769, 261
83, 60.3573, 272
84, 64.8953, 342
85, 55.2275, 261
86, 65.8868, 287
87, 64.7381, 276
88, 69.5579, 247
89, 65.7483, 261
90, 59.9827, 233
91, 55.7481, 251
92, 24.9074, 1003
93, 47.4741, 250
94, 65.0554, 259
95, 58.5489, 245
96, 60.0658, 230
97, 61.8477, 269
98, 85.5108, 330
99, 51.7825, 231
100, 64.6782, 289
101, 58.8107, 268
102, 71.7431, 314
103, 56.1507, 239
104, 62.5905, 262
105, 65.6278, 259
106, 59.3285, 245
107, 57.5783, 250
108, 57.5366, 269
109, 59.3206, 251
110, 57.1969, 236
111, 80.0697, 310
112, 59.3402, 276
113, 63.1907, 274
114, 52.269, 249
115, 61.9865, 237
116, 53.7173, 255
117, 65.4831, 239
118, 58.4618, 248
119, 46.6594, 240
120, 56.9469, 275
121, 62.4996, 249
122, 54.9589, 233
123, 56.2761, 215
124, 65.1882, 267
125, 50.191, 195
126, 42.5202, 184
127, 50.6555, 240
128, 58.7345, 262
129, 48.5871, 222
130, 56.7844, 209
131, 55.6141, 208
132, 61.715, 241
133, 58.1777, 227
134, 56.7137, 242
135, 59.1686, 261
136, 56.6502, 237
137, 54.6532, 252
138, 68.9343, 295
139, 55.5407, 215
140, 54.8624, 165
201, 66.6772, 257
202, 54.8865, 323
203, 56.2239, 325
204, 52.3794, 292
205, 50.2635, 275
206, 45.8149, 295
207, 52.7876, 301
208, 54.5019, 334
209, 51.2752, 299
210, 53.8504, 312
211, 53.8347, 258
212, 54.256, 300
213, 52.8831, 310
214, 50.403, 291
215, 56.0708, 257
216, 57.0835, 280
217, 51.339, 288
218, 52.1487, 282
219, 46.5551, 276
220, 57.6043, 299
221, 47.7933, 258
222, 54.9061, 238
223, 52.4889, 258
224, 54.8779, 267
225, 54.0997, 300
226, 61.0521, 321
227, 53.4833, 294
228, 56.0311, 284
229, 52.8895, 277
230, 54.4126, 297
231, 49.3831, 264
232, 57.3462, 266
233, 53.4033, 255
234, 60.4104, 263
235, 45.273, 234
236, 50.5183, 255
237, 54.0282, 302
238, 59.0827, 260
239, 52.1096, 272
240, 58.8049, 408
241, 51.067, 241
242, 57.7679, 235
243, 48.1973, 262
244, 51.0688, 255
245, 51.5547, 268
246, 57.5299, 245
247, 58.7038, 255
248, 48.0941, 246
249, 46.9962, 231
250, 49.9448, 237
251, 52.7644, 280
252, 50.5374, 262
253, 56.7802, 250
254, 68.3876, 379
255, 59.8618, 289
256, 49.4821, 251
257, 54.2737, 245
258, 52.2078, 277
259, 51.1346, 267
260, 59.4011, 272
261, 52.7307, 296
262, 57.1221, 264
263, 50.4464, 246
264, 50.728, 265
265, 57.7272, 276
266, 53.3762, 236
267, 68.4226, 402
268, 48.864, 257
269, 51.6865, 213
270, 54.4083, 255
271, 69.4937, 262
272, 49.3344, 233
273, 57.2484, 227
274, 55.9837, 229
275, 53.135, 271
276, 53.9315, 230
277, 58.2614, 253
278, 56.2284, 238
279, 49.7808, 230
280, 63.7009, 244
281, 51.7101, 242
282, 52.2799, 272
283, 52.2306, 250
284, 51.3528, 286
285, 51.1542, 253
286, 55.6192, 277
287, 61.1242, 266
288, 49.9935, 255
289, 54.8971, 218
290, 51.9556, 245
291, 58.039, 257
292, 55.412, 260
293, 66.1349, 230
294, 74.0864, 315
295, 51.1885, 231
296, 54.185, 201
297, 56.5732, 240
298, 55.3257, 236
299, 48.4574, 228
300, 53.2201, 210
301, 48.459, 255
302, 53.6494, 226
303, 44.9583, 207
304, 53.8886, 258
305, 52.9976, 249
306, 57.4685, 254
307, 64.4825, 309
308, 56.7159, 293
309, 56.7045, 285
310, 53.6185, 261
311, 58.2859, 230
312, 53.5492, 218
313, 56.7132, 235
314, 55.3293, 229
315, 60.2636, 261
316, 48.3979, 255
317, 52.8184, 274
318, 50.0486, 263
319, 53.589, 245
320, 57.3178, 263
321, 73.1661, 317
322, 55.0482, 244
323, 52.7911, 256
324, 54.9218, 254
325, 55.834, 244
326, 49.5749, 220
327, 62.0103, 247
328, 52.0457, 250
329, 53.3756, 252
330, 53.3188, 232
331, 52.6632, 227
332, 60.6296, 170
