#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 76.7733, 3355
2, 58.7694, 4194
3, 51.5964, 3858
4, 59.3602, 4195
5, 60.6279, 4030
6, 56.8871, 3641
7, 58.5798, 3950
8, 46.1695, 3285
9, 63.3962, 3970
10, 48.6307, 3463
11, 55.7983, 4122
12, 60.2513, 3931
13, 58.9906, 4034
14, 66.6831, 4267
15, 53.2559, 3417
16, 51.3197, 3497
17, 48.7044, 3447
18, 55.7028, 3729
19, 54.2559, 3887
20, 43.9139, 3202
21, 48.6972, 3416
22, 50.0159, 3499
23, 48.6951, 3378
24, 58.2768, 4411
25, 49.2314, 3286
26, 53.8861, 3594
27, 55.5017, 3796
28, 66.3223, 4420
29, 55.4167, 3570
30, 56.0793, 3756
31, 54.0665, 3764
32, 52.9544, 3706
33, 52.5631, 3629
34, 61.0826, 3882
35, 50.9052, 3426
36, 52.4061, 3499
37, 50.9001, 3473
38, 58.2843, 3684
39, 48.4901, 3323
40, 49.5089, 3354
41, 59.437, 3702
42, 67.7507, 3838
43, 50.0738, 3517
44, 50.9661, 3476
45, 51.6789, 3540
46, 61.3904, 3915
47, 61.4281, 3872
48, 49.2002, 3334
49, 48.1178, 3916
50, 47.7623, 3787
51, 51.6445, 3421
52, 55.4627, 3685
53, 48.5086, 3344
54, 55.0356, 3561
55, 55.1535, 3429
56, 73.1585, 4531
57, 53.7262, 3512
58, 49.1341, 3583
59, 59.4147, 3704
60, 55.4824, 3456
61, 49.0372, 3502
62, 53.1305, 3596
63, 49.2786, 3256
64, 49.637, 3299
65, 53.7128, 3589
66, 52.8504, 3668
67, 47.5687, 3124
68, 48.3405, 3349
69, 27.4545, 9823
70, 62.9493, 3874
71, 47.5522, 3068
72, 43.5271, 2876
73, 54.6052, 3331
74, 56.1907, 3639
75, 50.7716, 3440
76, 61.5498, 3642
77, 55.5992, 3594
78, 59.1484, 3823
79, 56.8868, 3428
80, 50.5563, 3251
81, 53.2286, 3326
82, 51.9802, 3452
83, 56.7196, 3554
84, 68.7873, 4286
85, 50.5863, 3302
86, 58.1097, 3629
87, 60.6723, 3544
88, 58.309, 3669
89, 62.6247, 3800
90, 52.0819, 3372
91, 51.4421, 3176
92, 50.2265, 3190
93, 45.0555, 2823
94, 59.6318, 3369
95, 53.9544, 3095
96, 56.1311, 3170
97, 58.0714, 3472
98, 75.9588, 4179
99, 46.0511, 2819
100, 58.4993, 3517
101, 54.4987, 3279
102, 61.5831, 3789
103, 49.208, 3254
104, 54.3816, 3362
105, 53.8263, 3245
106, 50.267, 3197
107, 52.3926, 3317
108, 55.9344, 3508
109, 51.4646, 3352
110, 56.2699, 3264
111, 73.9055, 3994
112, 54.3804, 3277
113, 53.5095, 3382
114, 50.8166, 3157
115, 57.7957, 3377
116, 50.1398, 3167
117, 52.9076, 3123
118, 54.0378, 3166
119, 44.0848, 2903
120, 53.2521, 3458
121, 57.1999, 3251
122, 55.2643, 3326
123, 53.6052, 3285
124, 65.3685, 3956
125, 49.1359, 2883
126, 40.7136, 2464
127, 47.9032, 3171
128, 54.7413, 3622
129, 48.6914, 3182
130, 48.7645, 3392
131, 49.3406, 3209
132, 56.3237, 3201
133, 49.372, 2946
134, 51.3025, 3127
135, 52.5467, 3429
136, 52.8237, 3145
137, 51.6915, 3103
138, 59.0741, 3711
139, 49.6393, 3087
140, 51.5466, 2362
201, 60.2586, 3233
202, 52.034, 4172
203, 53.2708, 4409
204, 45.5151, 3992
205, 47.728, 3979
206, 44.5076, 4015
207, 44.1423, 3776
208, 46.7792, 4049
209, 43.3968, 3698
210, 45.0889, 3801
211, 43.9601, 3575
212, 50.0209, 4020
213, 49.8717, 3895
214, 49.9543, 3878
215, 47.1455, 3794
216, 49.1447, 3769
217, 48.1205, 3708
218, 46.2248, 3594
219, 44.6867, 3490
220, 45.7478, 4100
221, 44.4542, 3633
222, 45.5085, 3802
223, 51.8727, 3750
224, 48.7154, 3667
225, 49.3815, 3738
226, 57.2056, 4121
227, 49.4798, 3932
228, 48.4113, 3786
229, 46.1185, 3592
230, 53.2413, 3794
231, 47.3096, 3584
232, 51.096, 3751
233, 49.8266, 3655
234, 50.2752, 3565
235, 43.2763, 3236
236, 47.3888, 3438
237, 51.5365, 3704
238, 49.9714, 3605
239, 49.0212, 3950
240, 63.8959, 5139
241, 46.2318, 3481
242, 48.8649, 3552
243, 48.6351, 3387
244, 48.0891, 3390
245, 49.3198, 3403
246, 48.1395, 3325
247, 49.6978, 3294
248, 41.7038, 3273
249, 40.862, 2991
250, 43.7097, 3272
251, 50.3147, 3350
252, 45.0113, 3268
253, 49.2262, 3458
254, 68.5325, 4500
255, 50.3626, 3432
256, 44.5535, 3088
257, 50.7196, 3359
258, 45.4873, 3493
