#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 81.0009, 741
2, 63.8557, 920
3, 55.5308, 863
4, 63.291, 973
5, 66.3951, 919
6, 59.2721, 917
7, 62.535, 929
8, 50.8382, 804
9, 65.7734, 988
10, 52.7636, 845
11, 62.0918, 927
12, 64.4368, 954
13, 65.1017, 947
14, 71.6902, 996
15, 55.3111, 754
16, 55.4431, 752
17, 53.008, 745
18, 58.4061, 820
19, 60.7794, 863
20, 47.7207, 736
21, 54.5812, 726
22, 52.6406, 747
23, 52.6908, 704
24, 62.7148, 1008
25, 51.175, 800
26, 57.7103, 878
27, 57.2186, 867
28, 71.1509, 1063
29, 57.1108, 864
30, 59.6068, 842
31, 57.1166, 822
32, 57.4819, 814
33, 54.4079, 813
34, 66.9742, 857
35, 55.9251, 782
36, 55.4262, 787
37, 55.901, 775
38, 65.6407, 848
39, 51.569, 812
40, 52.5971, 753
41, 62.6751, 857
42, 75.7585, 953
43, 55.6745, 847
44, 55.3892, 778
45, 52.2329, 823
46, 68.7954, 872
47, 64.352, 862
48, 54.1403, 698
49, 54.1547, 840
50, 53.514, 846
51, 53.5718, 801
52, 61.1348, 829
53, 53.262, 753
54, 57.1653, 744
55, 61.1608, 718
56, 80.5434, 1027
57, 57.7735, 780
58, 53.4443, 820
59, 65.4394, 817
60, 57.8749, 639
61, 54.5446, 775
62, 61.8879, 794
63, 52.8668, 748
64, 52.545, 762
65, 58.7682, 843
66, 57.8357, 853
67, 52.6418, 729
68, 52.322, 774
69, 58.0116, 817
70, 66.7205, 871
71, 50.1583, 708
72, 45.4588, 727
73, 59.2229, 797
74, 61.7874, 783
75, 56.3295, 754
76, 66.6037, 817
77, 62.1011, 795
78, 65.5864, 858
79, 59.9447, 801
80, 56.3359, 752
81, 56.5613, 802
82, 55.0494, 811
83, 60.0734, 822
84, 71.5208, 1015
85, 53.3294, 746
86, 62.3728, 765
87, 64.1678, 766
88, 64.6522, 779
89, 61.9737, 831
90, 57.2304, 709
91, 56.3256, 677
92, 26.4704, 1919
93, 47.8609, 656
94, 64.636, 816
95, 58.1915, 757
96, 62.5171, 783
97, 65.2185, 806
98, 79.4934, 971
99, 46.8776, 625
100, 61.8466, 736
101, 58.6485, 686
102, 65.2645, 851
103, 54.9101, 684
104, 55.7764, 761
105, 58.4837, 745
106, 54.2371, 775
107, 57.1876, 734
108, 57.8193, 790
109, 58.5277, 729
110, 61.1132, 756
111, 77.3689, 998
112, 59.2757, 807
113, 56.9901, 788
114, 55.1599, 725
115, 61.2005, 803
116, 55.805, 722
117, 52.5727, 737
118, 56.5317, 735
119, 46.8361, 676
120, 57.7903, 812
121, 58.8227, 758
122, 57.9756, 755
123, 57.2624, 720
124, 65.3207, 892
125, 50.9692, 636
126, 43.5627, 550
127, 52.8521, 711
128, 57.8217, 840
129, 55.4473, 766
130, 53.8811, 738
131, 52.944, 686
132, 57.6588, 711
133, 52.9988, 668
134, 55.2269, 694
135, 57.8171, 740
136, 59.9319, 732
137, 55.667, 705
138, 64.2931, 871
139, 52.4963, 713
140, 54.1303, 537
201, 64.611, 755
202, 57.0099, 951
203, 55.2069, 990
204, 48.3882, 869
205, 49.4752, 877
206, 49.1415, 872
207, 45.9681, 857
208, 54.8862, 909
209, 44.8441, 841
210, 50.8072, 879
211, 46.0847, 809
212, 53.5574, 920
