#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 81.7215, 47
2, 60.951, 80
3, 54.7768, 77
4, 47.9271, 91
5, 68.473, 82
6, 56.6718, 85
7, 59.5514, 75
8, 46.1769, 73
9, 61.377, 97
10, 51.6003, 84
11, 61.054, 78
12, 62.322, 81
13, 69.0102, 80
14, 70.3579, 79
15, 59.2211, 58
16, 49.2013, 71
17, 56.669, 56
18, 58.614, 75
19, 57.2161, 86
20, 53.9569, 63
21, 48.1137, 58
22, 52.7413, 62
23, 52.483, 68
24, 59.8606, 82
25, 48.5656, 66
26, 42.7678, 106
27, 49.7349, 75
28, 70.9565, 86
29, 55.6741, 66
30, 69.5604, 68
31, 55.6194, 82
32, 59.1055, 88
33, 53.994, 84
34, 68.2293, 93
35, 57.4982, 84
36, 52.3578, 78
37, 52.4723, 64
38, 59.8089, 73
39, 57.1634, 66
40, 48.8756, 67
41, 66.2962, 75
42, 72.4874, 69
43, 51.3086, 67
44, 57.425, 66
45, 59.3537, 78
46, 56.5655, 78
47, 73.3931, 63
48, 45.6736, 61
49, 45.1413, 64
50, 51.6681, 64
51, 46.7559, 70
52, 48.7469, 77
53, 46.1693, 72
54, 61.0301, 81
55, 60.345, 73
56, 77.8706, 96
57, 53.8551, 73
58, 58.2596, 68
59, 61.877, 72
60, 55.9901, 64
61, 48.1491, 75
62, 59.3041, 80
63, 52.1788, 65
64, 47.9864, 68
65, 50.0731, 59
66, 56.0505, 55
67, 49.272, 62
68, 56.6352, 63
69, 52.4934, 64
70, 52.5227, 74
71, 53.0511, 58
72, 44.7334, 64
73, 57.8411, 70
74, 62.6511, 66
75, 60.3161, 74
76, 64.641, 87
77, 58.9802, 74
78, 71.542, 71
79, 60.1169, 68
80, 51.7611, 70
81, 54.6543, 62
82, 46.6684, 64
83, 61.7706, 76
84, 67.2518, 80
85, 50.8146, 58
86, 60.6762, 81
87, 65.6171, 82
88, 59.5013, 78
89, 59.9774, 77
90, 58.3434, 60
91, 52.9879, 65
92, 47.7017, 55
93, 46.254, 60
94, 55.5891, 63
95, 51.2155, 59
96, 60.3941, 55
97, 61.4698, 69
98, 66.4888, 92
99, 47.8927, 55
100, 54.9793, 84
101, 65.6836, 70
102, 64.1236, 84
103, 44.7161, 72
104, 60.7578, 78
105, 54.6267, 80
106, 57.032, 73
107, 60.0155, 67
108, 55.1894, 74
109, 56.5309, 70
110, 63.3825, 59
111, 72.1307, 78
112, 75.1927, 59
113, 55.2072, 52
114, 52.7575, 57
115, 60.9403, 65
116, 48.3527, 57
117, 53.2656, 53
118, 47.7263, 60
119, 46.7056, 56
120, 54.5657, 58
121, 53.7194, 64
122, 62.7693, 74
123, 55.4669, 72
124, 68.3937, 70
125, 52.5102, 60
126, 47.9566, 68
127, 48.2774, 62
128, 58.3409, 64
129, 53.5253, 59
130, 50.8136, 61
131, 50.4098, 55
132, 57.6059, 59
133, 53.7091, 63
134, 43.9809, 61
135, 61.8505, 56
136, 60.8743, 61
137, 48.4082, 75
138, 69.2578, 78
139, 44.1824, 71
140, 50.0372, 49
201, 63.7335, 67
202, 53.6379, 93
203, 54.0591, 96
204, 50.8841, 81
205, 50.3472, 83
206, 46.4398, 93
207, 49.4441, 94
208, 49.1559, 83
209, 45.5408, 75
210, 42.6069, 76
211, 41.3379, 57
212, 44.7352, 74
213, 48.1637, 89
214, 52.0927, 91
215, 50.812, 73
216, 53.253, 75
217, 52.3094, 80
218, 50.1295, 82
219, 39.5456, 82
220, 53.5476, 93
221, 42.135, 94
222, 53.1393, 76
223, 55.9578, 79
224, 56.4382, 81
225, 47.3722, 79
226, 57.5416, 78
227, 54.0926, 66
228, 49.2221, 65
229, 47.9207, 54
230, 53.3682, 69
231, 43.7222, 71
232, 65.1327, 67
233, 52.0185, 87
234, 51.0706, 88
235, 42.421, 69
236, 52.3066, 76
237, 48.4448, 85
238, 53.2404, 77
239, 55.7145, 73
240, 76.5458, 95
241, 40.3395, 71
242, 54.2827, 72
243, 48.9125, 77
244, 52.4296, 73
245, 48.2203, 63
246, 52.8992, 56
247, 56.4788, 69
248, 45.4541, 65
249, 44.947, 54
250, 47.8396, 56
251, 42.7706, 63
252, 48.5039, 50
253, 50.0889, 47
254, 50.4077, 91
255, 56.3238, 77
256, 42.8879, 68
257, 58.2882, 65
258, 47.8633, 75
259, 48.0176, 82
260, 64.2652, 79
261, 55.0897, 69
262, 59.6256, 62
263, 50.9187, 55
264, 56.3757, 57
265, 57.8071, 73
266, 45.196, 77
267, 74.8902, 99
268, 43.3808, 60
269, 46.2091, 53
270, 48.0561, 66
271, 59.2013, 70
272, 37.9469, 57
273, 59.3646, 61
274, 50.9574, 59
275, 51.2923, 69
276, 48.337, 67
277, 51.9583, 66
278, 55.3445, 62
279, 49.3303, 67
280, 64.1654, 63
281, 45.4596, 77
282, 58.0506, 80
283, 47.5107, 72
284, 51.4012, 77
285, 54.8616, 73
286, 55.9385, 80
287, 55.9421, 63
288, 48.2166, 72
289, 51.3945, 73
290, 52.1283, 71
291, 56.8617, 77
292, 60.3921, 79
293, 63.3966, 78
294, 70.5273, 98
295, 48.0917, 54
296, 61.609, 56
297, 56.2157, 67
298, 48.6011, 69
299, 51.6825, 57
300, 42.9367, 47
301, 59.9329, 58
302, 46.5909, 69
303, 51.6032, 55
304, 47.1535, 62
305, 52.2973, 65
306, 47.6354, 71
307, 66.5852, 61
308, 45.7119, 66
309, 63.051, 67
310, 54.7776, 61
311, 52.4612, 58
312, 50.5363, 68
313, 57.4652, 64
314, 45.5869, 52
315, 69.8862, 50
316, 54.9218, 56
317, 54.9747, 79
318, 47.3938, 68
319, 51.3217, 60
320, 61.942, 69
321, 68.358, 71
322, 51.8447, 50
323, 47.6306, 60
324, 58.6819, 68
325, 50.838, 63
326, 52.6207, 51
327, 55.8358, 67
328, 55.0683, 62
329, 58.0973, 51
330, 50.5561, 62
331, 49.8673, 53
332, 53.5167, 44
