#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 73.5283, 23
2, 47.7234, 24
3, 42.9831, 17
4, 54.8725, 19
5, 52.0921, 29
6, 66.5234, 28
7, 47.8312, 22
8, 46.2525, 16
9, 47.1208, 32
10, 51.4418, 28
11, 62.6058, 25
12, 31.0392, 24
13, 57.6404, 21
14, 69.6289, 27
15, 45.4663, 18
16, 46.9916, 18
17, 45.233, 18
18, 55.1213, 20
19, 57.0539, 24
20, 30.8387, 19
21, 47.5662, 19
22, 44.1497, 20
23, 56.404, 10
24, 35.5376, 20
25, 49.5081, 21
26, 41.0153, 28
27, 48.1416, 26
28, 67.9092, 25
29, 48.2145, 16
30, 55.0942, 21
31, 51.6372, 28
32, 51.511, 32
33, 45.6583, 30
34, 61.9443, 28
35, 40.0591, 24
36, 49.9103, 17
37, 68.7162, 18
38, 47.8882, 25
39, 37.8215, 18
40, 55.1985, 18
41, 39.419, 17
42, 59.5949, 21
43, 57.2242, 23
44, 43.329, 22
45, 53.1045, 24
46, 62.6978, 26
47, 63.0571, 19
48, 51.5178, 13
49, 46.9593, 15
50, 40.8387, 21
51, 46.0275, 23
52, 71.2436, 24
53, 44.0751, 21
54, 63.935, 21
55, 67.4886, 18
56, 43.9593, 34
57, 59.614, 24
58, 47.0925, 23
59, 63.8545, 20
60, 60.8356, 22
61, 51.4399, 23
62, 36.5799, 24
63, 44.756, 21
64, 48.0051, 17
65, 26.6893, 16
66, 52.3411, 19
67, 43.4849, 16
68, 37.4655, 13
69, 63.329, 16
70, 46.279, 20
71, 27.7153, 15
72, 50.2408, 12
73, 60.201, 21
74, 44.7577, 26
75, 52.2316, 19
76, 63.8541, 22
77, 58.0332, 20
78, 46.8501, 25
79, 59.6988, 17
80, 38.1894, 17
81, 66.4954, 19
82, 47.1715, 20
83, 51.8501, 19
84, 50.9685, 23
85, 51.3456, 16
86, 58.5486, 17
87, 58.5637, 23
88, 60.9303, 22
89, 64.9983, 26
90, 46.7789, 23
91, 49.8682, 19
92, 49.5334, 25
93, 47.3908, 28
94, 55.8676, 30
95, 42.4219, 21
96, 68.2902, 15
97, 59.1983, 15
98, 68.2653, 29
99, 43.1638, 19
100, 69.8196, 17
101, 38.6981, 15
102, 48.4562, 15
103, 51.1055, 14
104, 52.004, 20
105, 66.4113, 18
106, 56.1155, 16
107, 38.4075, 18
108, 58.5891, 19
109, 62.8366, 21
110, 60.3772, 18
111, 62.2743, 25
112, 60.8255, 24
113, 56.1911, 28
114, 51.5678, 31
115, 62.4984, 30
116, 48.8879, 23
