#time, unixtime, spillnum, POT
2025/11/29/22:44, 1764423850, 6398106, 200937131709757.9
2025/11/29/22:44, 1764423851, 6398107, 200264567934645.2
2025/11/29/22:44, 1764423853, 6398108, 200722227079953.6
2025/11/29/22:44, 1764423854, 6398109, 200516429453068.8
2025/11/29/22:44, 1764423855, 6398110, 199657958983795.7
2025/11/29/22:44, 1764423857, 6398111, 200415736443451.2
2025/11/29/22:44, 1764423858, 6398112, 199938534650234.9
2025/11/29/22:44, 1764423860, 6398113, 200939698697830.8
2025/11/29/22:44, 1764423861, 6398114, 200870854399556.2
2025/11/29/22:44, 1764423862, 6398115, 200925173931136.5
2025/11/29/22:44, 1764423864, 6398116, 200778507326040.9
2025/11/29/22:44, 1764423865, 6398117, 200993708642910
2025/11/29/22:44, 1764423866, 6398118, 200904483233283.5
2025/11/29/22:44, 1764423868, 6398119, 200696079920011
2025/11/29/22:44, 1764423869, 6398120, 200838451012397.5
2025/11/29/22:44, 1764423870, 6398121, 200486644651734.5
2025/11/29/22:44, 1764423872, 6398122, 200934126140803.6
2025/11/29/22:44, 1764423873, 6398123, 200490578980192.7
2025/11/29/22:44, 1764423875, 6398124, 200443934613964
2025/11/29/22:44, 1764423876, 6398125, 201014102653696.8
2025/11/29/22:44, 1764423877, 6398126, 200976178307260
2025/11/29/22:44, 1764423879, 6398127, 200961795434377
2025/11/29/22:44, 1764423880, 6398128, 199922874733033
2025/11/29/22:44, 1764423881, 6398129, 200291063379400.9
2025/11/29/22:44, 1764423883, 6398130, 200799572107580.9
2025/11/29/22:44, 1764423884, 6398131, 200719750387940.1
2025/11/29/22:44, 1764423885, 6398132, 201360916932022.5
2025/11/29/22:44, 1764423887, 6398133, 200993605447408
2025/11/29/22:44, 1764423888, 6398134, 200672577144771.2
2025/11/29/22:44, 1764423889, 6398135, 200373645578681.1
2025/11/29/22:44, 1764423891, 6398136, 200700801114161.5
2025/11/29/22:44, 1764423892, 6398137, 200701175197850.9
2025/11/29/22:44, 1764423894, 6398138, 200535404525725.6
2025/11/29/22:44, 1764423895, 6398139, 200266554448030.9
2025/11/29/22:44, 1764423896, 6398140, 200801700514780.8
2025/11/29/22:44, 1764423898, 6398141, 200603732846496.8
2025/11/29/22:44, 1764423899, 6398142, 200785369826824.7
2025/11/29/22:45, 1764423900, 6398143, 200617264356500.8
2025/11/29/22:45, 1764423902, 6398144, 201126676045310.6
2025/11/29/22:45, 1764423903, 6398145, 200392259467084.7
2025/11/29/22:45, 1764423904, 6398146, 200728612301546
2025/11/29/22:45, 1764423906, 6398147, 200653034496862.9
2025/11/29/22:45, 1764423907, 6398148, 200517100223823.2
2025/11/29/22:45, 1764423909, 6398149, 200618025423317.3
2025/11/29/22:45, 1764423910, 6398150, 201103289365008.3
2025/11/29/22:45, 1764423911, 6398151, 201084997962543.8
2025/11/29/22:45, 1764423913, 6398152, 200704645146553.4
2025/11/29/22:45, 1764423914, 6398153, 200991851123901.3
2025/11/29/22:45, 1764423915, 6398154, 201286654869970.9
2025/11/29/22:45, 1764423917, 6398155, 200694789976257.3
2025/11/29/22:45, 1764423918, 6398156, 200828492646599.8
2025/11/29/22:45, 1764423919, 6398157, 200527639064310.4
2025/11/29/22:45, 1764423921, 6398158, 201017224317587.2
2025/11/29/22:45, 1764423922, 6398159, 200921794278494.8
2025/11/29/22:45, 1764423923, 6398160, 200569459040891.5
2025/11/29/22:45, 1764423925, 6398161, 200306813592665.1
2025/11/29/22:45, 1764423926, 6398162, 200618683294633.2
2025/11/29/22:45, 1764423928, 6398163, 200631015156943.2
