#time, delivered spill, recorded spill, delivered POT, recorded POT, efficiency[%]
2025/11/30/2:10,19708,18629,3.958024627184741e+18,2.01518322122972e+18,50.91386262199882
2025/11/30/2:20,20149,19070,4.046643271246845e+18,2.10380186529183e+18,51.98881453772449
2025/11/30/2:30,20544,19465,4.126025328367473e+18,2.18318392241246e+18,52.91251867511612
2025/11/30/2:40,20904,19825,4.198247116667623e+18,2.255405710712613e+18,53.72255724915141
2025/11/30/2:50,21345,20266,4.286705160848748e+18,2.343863754893742e+18,54.67751261040002
2025/11/30/3:00,21787,20708,4.375382916531891e+18,2.432541510576886e+18,55.59608283393441
2025/11/30/3:10,22228,21149,4.463883034692425e+18,2.52104162873742e+18,56.47642667033114
2025/11/30/3:20,22536,21457,4.525706006246434e+18,2.582864600291428e+18,57.07097625710834
2025/11/30/3:30,22711,21632,4.560847288656982e+18,2.618005882701977e+18,57.40174395255607
2025/11/30/3:40,22711,21632,4.560847288656982e+18,2.618005882701977e+18,57.40174395255607
2025/11/30/3:50,22711,21632,4.560847288656982e+18,2.618005882701977e+18,57.40174395255607
2025/11/30/4:00,22711,21632,4.560847288656982e+18,2.618005882701977e+18,57.40174395255607
2025/11/30/4:10,22711,21632,4.560847288656982e+18,2.618005882701977e+18,57.40174395255607
2025/11/30/4:20,22713,21634,4.561222888088695e+18,2.618381482133689e+18,57.40525175762412
2025/11/30/4:30,22715,21636,4.561597981485082e+18,2.618756575530076e+18,57.40875426022328
2025/11/30/4:40,22766,21687,4.57116692703461e+18,2.628325521079605e+18,57.49791164998304
2025/11/30/4:50,23191,22112,4.650868397654675e+18,2.708026991699677e+18,58.22626572416609
2025/11/30/5:00,23632,22553,4.73355801460164e+18,2.790716608646642e+18,58.95600307502514
2025/11/30/5:10,24073,22994,4.816237077551281e+18,2.873395671596275e+18,59.66059447092658
2025/11/30/5:20,24514,23435,4.898960226973176e+18,2.956118821018165e+18,60.34175996657569
2025/11/30/5:30,24955,23876,4.981697616264784e+18,3.038856210309781e+18,61.00041480615354
2025/11/30/5:40,25396,24317,5.064456669865091e+18,3.121615263910093e+18,61.63771293541836
2025/11/30/5:50,25838,24759,5.147374836389522e+18,3.204533430434522e+18,62.25568434962179
2025/11/30/6:00,26279,25200,5.230077308425786e+18,3.287235902470779e+18,62.85252986939523
2025/11/30/6:10,26720,25641,5.312786905750172e+18,3.369945499795168e+18,63.43084259878342
2025/11/30/6:20,27161,26082,5.395509673967872e+18,3.452668268012888e+18,63.99151288100252
2025/11/30/6:30,27602,26523,5.478229181233554e+18,3.535387775278587e+18,64.53522951156472
2025/11/30/6:40,28043,26964,5.560968526144404e+18,3.618127120189428e+18,65.06289512661547
2025/11/30/6:50,28485,27406,5.643875844138651e+18,3.701034438183665e+18,65.57611365649211
2025/11/30/7:00,28926,27847,5.726599025899438e+18,3.783757619944448e+18,66.07338147531918
2025/11/30/7:10,29367,28288,5.809373206334786e+18,3.866531800379805e+18,66.55678096500283
2025/11/30/7:20,29808,28729,5.892107979955848e+18,3.949266574000858e+18,67.02637812198499
2025/11/30/7:30,30249,29170,5.974830084200822e+18,4.031988678245818e+18,67.48290112730673
2025/11/30/7:40,30691,29612,6.057771366981737e+18,4.114929961026741e+18,67.92811599750074
2025/11/30/7:50,31132,30053,6.140492299544994e+18,4.197650893589995e+18,68.36016867737197
2025/11/30/8:00,31573,30494,6.223245693491276e+18,4.28040428753628e+18,68.78089823792493
2025/11/30/8:10,32014,30935,6.305983129530445e+18,4.363141723575455e+18,69.19050739516238
2025/11/30/8:20,32455,31376,6.388728005294438e+18,4.44588659933944e+18,69.58954263908346
2025/11/30/8:30,32896,31817,6.47146536442717e+18,4.528623958472164e+18,69.97833880662392
2025/11/30/8:40,33338,32259,6.554385280721608e+18,4.611543874766597e+18,70.35814462006859
2025/11/30/8:50,33779,32700,6.637117639580853e+18,4.694276233625843e+18,70.72763341772401
2025/11/30/9:00,34220,33141,6.71986708690552e+18,4.77702568095051e+18,71.08809771340755
2025/11/30/9:10,34661,33582,6.802620468081357e+18,4.859779062126346e+18,71.43980889318998
2025/11/30/9:20,35102,34023,6.885372131929285e+18,4.942530725974274e+18,71.78305879873155
2025/11/30/9:30,35543,34464,6.968122177723353e+18,5.025280771768343e+18,72.11814953293798
2025/11/30/9:40,35985,34906,7.051033389541819e+18,5.108191983586809e+18,72.44600473972146
2025/11/30/9:50,36426,35347,7.133808231679628e+18,5.190966825724618e+18,72.76571863360033
2025/11/30/10:00,36867,35788,7.216560551760638e+18,5.273719145805627e+18,73.07801421438899
2025/11/30/10:10,37308,36229,7.299340131603886e+18,5.356498725648876e+18,73.38332820602361
2025/11/30/10:20,37749,36670,7.382087449360409e+18,5.439246043405398e+18,73.6816798868545
2025/11/30/10:30,38191,37112,7.464965693905709e+18,5.522124287950698e+18,73.97387361684571
2025/11/30/10:40,38632,37553,7.547733625685816e+18,5.604892219730806e+18,74.25927434238942
2025/11/30/10:50,39073,37994,7.630478750047759e+18,5.687637344092749e+18,74.53840748926991
2025/11/30/11:00,39514,38435,7.713206032591338e+18,5.770364626636328e+18,74.81149346010285
2025/11/30/11:10,39955,38876,7.795913818731496e+18,5.853072412776486e+18,75.0787213516024
2025/11/30/11:20,40396,39317,7.878697265439135e+18,5.935855859484124e+18,75.34057547207048
2025/11/30/11:30,40838,39759,7.961668821123197e+18,6.018827415168186e+18,75.5975606420549
2025/11/30/11:40,41279,40200,8.044380773381799e+18,6.101539367426788e+18,75.84846539855853
2025/11/30/11:50,41720,40641,8.127117769911339e+18,6.184276363956328e+18,76.09433675062634
2025/11/30/12:00,42161,41082,8.209848432081773e+18,6.267007026126762e+18,76.33523417603017
2025/11/30/12:10,42520,41441,8.27723767568304e+18,6.33439626972803e+18,76.52790119023993
2025/11/30/12:20,42520,41441,8.27723767568304e+18,6.33439626972803e+18,76.52790119023993
2025/11/30/12:30,42909,41830,8.350256880872707e+18,6.407415474917697e+18,76.73315403738862
2025/11/30/12:40,43350,42271,8.433060440783273e+18,6.490219034828262e+18,76.96160937541488
2025/11/30/12:50,43791,42712,8.51584584793453e+18,6.573004441979519e+18,77.18557333413644
2025/11/30/13:00,44232,43153,8.598629821158506e+18,6.655788415203496e+18,77.40522099027577
2025/11/30/13:10,44367,43206,8.623978141698439e+18,6.665744051558738e+18,77.29314641150008
2025/11/30/13:20,44809,43648,8.706977198544804e+18,6.748743108405103e+18,77.50959896315129
2025/11/30/13:30,45250,44089,8.78978484805436e+18,6.831550757914659e+18,77.72147869383673
2025/11/30/13:40,45691,44530,8.872624000686417e+18,6.914389910546716e+18,77.92948185352827
2025/11/30/13:50,46132,44971,8.95544490438096e+18,6.997210814241258e+18,78.13359234467801
2025/11/30/14:00,46573,45412,9.038271780734392e+18,7.080037690594691e+18,78.33397647641232
2025/11/30/14:10,47014,45853,9.121074290862922e+18,7.16284020072322e+18,78.53066395806718
2025/11/30/14:20,47456,46295,9.204034498099114e+18,7.245800407959413e+18,78.72417698408094
2025/11/30/14:30,47897,46736,9.286837998517471e+18,7.328603908377771e+18,78.91387692503834
2025/11/30/14:40,48338,47177,9.369640517714313e+18,7.411406427574617e+18,79.1002217594427
2025/11/30/14:50,48779,47618,9.452433569975241e+18,7.49419947983553e+18,79.28328111863324
2025/11/30/15:00,49220,48059,9.535253477407543e+18,7.577019387267807e+18,79.46321935982616
2025/11/30/15:10,49660,48499,9.617853097945483e+18,7.659619007805769e+18,79.63959243089268
2025/11/30/15:20,50102,48941,9.700841213862961e+18,7.742607123723298e+18,79.81377030126775
2025/11/30/15:30,50543,49382,9.783614814868484e+18,7.825380724728812e+18,79.98455451083704
2025/11/30/15:40,50984,49823,9.866351268563886e+18,7.908117178424208e+18,80.15239842129894
2025/11/30/15:50,51425,50264,9.949091403629779e+18,7.990857313490102e+18,80.31745804018601
2025/11/30/16:00,51866,50705,1.003182787915102e+19,8.073593789011359e+18,80.47978779411251
2025/11/30/16:10,52308,51147,1.011477018377377e+19,8.156536093634127e+18,80.63985582904232
2025/11/30/16:20,52749,51588,1.019750746198831e+19,8.239273371848676e+18,80.79693398176912
2025/11/30/16:30,53190,52029,1.028025178699792e+19,8.322017696858276e+18,80.95149680461769
2025/11/30/16:40,53631,52470,1.036300907031813e+19,8.40477498017848e+18,81.10361501324506
2025/11/30/16:50,53654,52493,1.036732711989205e+19,8.409093029752396e+18,81.11148546299518
2025/11/30/17:00,53654,52493,1.036732711989205e+19,8.409093029752396e+18,81.11148546299518
2025/11/30/17:10,53654,52493,1.036732711989205e+19,8.409093029752396e+18,81.11148546299518
2025/11/30/17:20,53655,52494,1.036751452711328e+19,8.409280436973631e+18,81.11182689912371
2025/11/30/17:30,53921,52499,1.04173872281251e+19,8.410218322146592e+18,80.7325113099424
2025/11/30/17:40,54362,52940,1.050011092475401e+19,8.492942018775527e+18,80.88430760053605
2025/11/30/17:50,54803,53381,1.058284812659102e+19,8.575679220612511e+18,81.03375497815949
2025/11/30/18:00,55244,53822,1.066557776521686e+19,8.658408859238367e+18,81.18087036480688
2025/11/30/18:10,55686,54264,1.074851186949948e+19,8.741342963520988e+18,81.32607629457867
2025/11/30/18:20,56127,54705,1.083126208753975e+19,8.824093181561242e+18,81.4687439953323
2025/11/30/18:30,56568,55146,1.091402009303497e+19,8.906851187056444e+18,81.60926140076057
2025/11/30/18:40,57009,55587,1.099677552224163e+19,8.989606616263084e+18,81.7476595578501
2025/11/30/18:50,57450,56028,1.107954427554823e+19,9.072375369569663e+18,81.88401204904932
2025/11/30/19:00,57892,56470,1.116247213661917e+19,9.155303230640589e+18,82.01859873500655
2025/11/30/19:10,58333,56911,1.124521883983359e+19,9.238049933854994e+18,82.15091289403222
2025/11/30/19:20,58774,57352,1.132802857809745e+19,9.320859672118852e+18,82.28139263473059
2025/11/30/19:30,59215,57793,1.14108143313664e+19,9.403645425387803e+18,82.40994158969681
2025/11/30/19:40,59656,58234,1.149361368735027e+19,9.486444781371673e+18,82.53665939557668
2025/11/30/19:50,60097,58675,1.157637936246407e+19,9.569210456485474e+18,82.6615140785144
2025/11/30/20:00,60539,59117,1.16593548547469e+19,9.652185948768301e+18,82.78490593189713
2025/11/30/20:10,60932,59510,1.173307876717515e+19,9.72590986119655e+18,82.8930756725684
2025/11/30/20:20,61373,59951,1.181581212629547e+19,9.808643220316877e+18,83.01285697060342
2025/11/30/20:30,61814,60392,1.189856141339623e+19,9.891392507417631e+18,83.13099511577268
2025/11/30/20:40,62255,60833,1.198129578145897e+19,9.974126875480375e+18,83.24748055143847
2025/11/30/20:50,62696,61274,1.206407392236994e+19,1.005690501639134e+19,83.36242865474503
2025/11/30/21:00,63138,61716,1.214700389765866e+19,1.013983499168006e+19,83.47601661373074
2025/11/30/21:10,63578,62156,1.222954961566517e+19,1.022238070968658e+19,83.58754844571253
2025/11/30/21:20,64019,62597,1.231227768482935e+19,1.030510877885075e+19,83.69782620764195
2025/11/30/21:30,64460,63038,1.239501190857316e+19,1.038784300259456e+19,83.80663995497807
2025/11/30/21:40,64901,63479,1.247777076761124e+19,1.047060186163265e+19,83.91404247312637
2025/11/30/21:50,65343,63921,1.256068607764551e+19,1.055351717166692e+19,84.02022872340713
2025/11/30/22:00,65784,64362,1.264339903791776e+19,1.063623013193916e+19,84.12476818963741
2025/11/30/22:10,66225,64803,1.272617573996098e+19,1.071900683398238e+19,84.22802775168378
2025/11/30/22:20,66666,65244,1.280895988675978e+19,1.080179098078118e+19,84.32996181014397
2025/11/30/22:30,67107,65685,1.289171975575936e+19,1.088455084978076e+19,84.43055741200163
2025/11/30/22:40,67548,66126,1.297448390391511e+19,1.096731499793651e+19,84.52987478466927
2025/11/30/22:50,67990,66568,1.305743522254874e+19,1.105026631657014e+19,84.62815344844721
2025/11/30/23:00,68431,67009,1.314015675657407e+19,1.113298785059547e+19,84.7249241910725
2025/11/30/23:10,68872,67450,1.322292334499384e+19,1.121575443901525e+19,84.82053587084806
2025/11/30/23:20,69313,67891,1.330567775829239e+19,1.129850885231379e+19,84.91494426334137
2025/11/30/23:30,69754,68332,1.338840678002842e+19,1.138123787404982e+19,85.00815713955819
2025/11/30/23:40,70195,68773,1.347112436323982e+19,1.146395545726122e+19,85.10021248518953
2025/11/30/23:50,70637,69215,1.355404018815515e+19,1.154687128217656e+19,85.19136081850593
2025/12/01/0:00,71078,69656,1.363675404982721e+19,1.162958514384862e+19,85.28118276061429
2025/12/01/0:10,71519,70097,1.371951002900135e+19,1.171234112302275e+19,85.36996655321006
2025/12/01/0:20,71960,70538,1.380228554712129e+19,1.179511664114269e+19,85.45770626809538
2025/12/01/0:30,72400,70978,1.388487328901869e+19,1.187770438304009e+19,85.54420437119845
2025/12/01/0:40,72842,71420,1.396783021474113e+19,1.196066130876254e+19,85.63005939275877
2025/12/01/0:50,73283,71861,1.405057141760955e+19,1.204340251163095e+19,85.71468130140944
2025/12/01/1:00,73724,72302,1.413332599857497e+19,1.212615709259638e+19,85.79832584219047
2025/12/01/1:10,73919,72496,1.416991634976562e+19,1.216255955993156e+19,85.83367226534648
2025/12/01/1:20,73919,72496,1.416991634976562e+19,1.216255955993156e+19,85.83367226534648
2025/12/01/1:30,74218,72795,1.4225983394982e+19,1.221862660514794e+19,85.889504197354
2025/12/01/1:40,74660,73237,1.430885393704095e+19,1.230149714720689e+19,85.97122593698674
2025/12/01/1:50,75101,73678,1.439161626446691e+19,1.238425947463286e+19,86.05190165617296
2025/12/01/2:00,75542,74119,1.447434861415467e+19,1.246699182432062e+19,86.13162606936916
2025/12/01/2:10,75983,74560,1.455707752429768e+19,1.254972073446363e+19,86.21044102785392
2025/12/01/2:20,76424,75001,1.463980973963776e+19,1.263245294980371e+19,86.28836832217111
2025/12/01/2:30,76795,75372,1.470940930941168e+19,1.270205251957763e+19,86.35324677144131
2025/12/01/2:40,77237,75814,1.479237242550973e+19,1.278501563567568e+19,86.42978467488875
2025/12/01/2:50,77678,76255,1.487511564039374e+19,1.286775885055969e+19,86.50526934807132
2025/12/01/3:00,78119,76696,1.495789868193004e+19,1.295054189209599e+19,86.57995462785793
2025/12/01/3:10,78560,77137,1.504064295559991e+19,1.303328616576586e+19,86.65378338040613
2025/12/01/3:20,79001,77578,1.512340907426088e+19,1.311605228442682e+19,86.72682342997354
2025/12/01/3:30,79443,78020,1.520635596691687e+19,1.319899917708281e+19,86.79922530946085
2025/12/01/3:40,79884,78461,1.528913615476221e+19,1.328177936492816e+19,86.87069845205868
2025/12/01/3:50,80249,78826,1.535763791236843e+19,1.335028112253438e+19,86.92926085842012
2025/12/01/4:00,80518,79095,1.54081638120811e+19,1.340080702224705e+19,86.9721219587493
2025/12/01/4:10,80959,79536,1.549092753511009e+19,1.348357074527604e+19,87.04172629247415
2025/12/01/4:20,81400,79977,1.557374022018598e+19,1.356638343035193e+19,87.11063134832436
2025/12/01/4:30,81842,80419,1.565675312099253e+19,1.364939633115848e+19,87.17897143602148
2025/12/01/4:40,82283,80860,1.573955932954463e+19,1.373220253971057e+19,87.24642318247085
2025/12/01/4:50,82724,81301,1.582237273349329e+19,1.381501594365924e+19,87.31317468217131
2025/12/01/5:00,83165,81742,1.590516370586177e+19,1.389780691602772e+19,87.37921327339593
2025/12/01/5:10,83606,82183,1.598797453136764e+19,1.398061774153359e+19,87.44458351559346
2025/12/01/5:20,84047,82624,1.607081049006026e+19,1.406345370022621e+19,87.50929960206055
2025/12/01/5:30,84489,83066,1.615379829415968e+19,1.414644150432563e+19,87.57346877012942
2025/12/01/5:40,84930,83507,1.623660355664119e+19,1.422924676680714e+19,87.63684299594178
2025/12/01/5:50,85371,83948,1.63194025469776e+19,1.431204575714355e+19,87.69956936808437
2025/12/01/6:00,85812,84389,1.640219676542507e+19,1.439483997559101e+19,87.76165888909802
2025/12/01/6:10,86253,84830,1.648502100883559e+19,1.447766421900154e+19,87.82314691162266
2025/12/01/6:20,86695,85272,1.656798758634292e+19,1.456063079650886e+19,87.88412425243047
2025/12/01/6:30,87136,85713,1.665082848423019e+19,1.464347169439614e+19,87.94440293625512
2025/12/01/6:40,87577,86154,1.673362506219117e+19,1.472626827235712e+19,88.00405302273934
2025/12/01/6:50,88018,86595,1.681640444166743e+19,1.480904765183338e+19,88.06310352015409
2025/12/01/7:00,88459,87036,1.689921063071555e+19,1.48918538408815e+19,88.12159435313781
2025/12/01/7:10,88900,87477,1.698200548133865e+19,1.49746486915046e+19,88.1795068783842
2025/12/01/7:20,89342,87919,1.706498597437225e+19,1.505762918453819e+19,88.23698541066106
2025/12/01/7:30,89783,88360,1.714780970196008e+19,1.514045291212602e+19,88.29380063854686
2025/12/01/7:40,90224,88801,1.723061035618203e+19,1.522325356634798e+19,88.35005407040704
2025/12/01/7:50,90615,89192,1.730405211398819e+19,1.529669532415413e+19,88.39949870347795
2025/12/01/8:00,91056,89633,1.738684421091674e+19,1.537948742108269e+19,88.45473758502025
2025/12/01/8:10,91497,90074,1.746967212977691e+19,1.546231533994286e+19,88.50947645197915
2025/12/01/8:20,91939,90516,1.755263111501068e+19,1.554527432517663e+19,88.5637841034704
2025/12/01/8:30,92380,90957,1.76354559821606e+19,1.562809919232655e+19,88.61749425779166
2025/12/01/8:40,92821,91398,1.771824146211627e+19,1.571088467228222e+19,88.67067708651548
2025/12/01/8:50,93184,91761,1.778642598157131e+19,1.577906919173725e+19,88.7141082086199
2025/12/01/9:00,93625,92202,1.786923776571177e+19,1.586188097587771e+19,88.76641065414746
2025/12/01/9:10,94067,92644,1.795222099120742e+19,1.594486420137336e+19,88.81833734768968
2025/12/01/9:20,94508,93085,1.803505568781908e+19,1.602769889798503e+19,88.86969452947226
2025/12/01/9:30,94949,93526,1.811785140876724e+19,1.611049461893318e+19,88.92055826850034
2025/12/01/9:40,95390,93967,1.820067585899443e+19,1.619331906916038e+19,88.97097665281449
2025/12/01/9:50,95831,94408,1.828350497305199e+19,1.627614818321793e+19,89.02094104608119
2025/12/01/10:00,96272,94849,1.836632986950946e+19,1.63589730796754e+19,89.07045226729521
2025/12/01/10:10,96714,95291,1.844933214973178e+19,1.644197535989773e+19,89.11962355307679
2025/12/01/10:20,97155,95732,1.853215129421393e+19,1.652479450437987e+19,89.16824734503008
2025/12/01/10:30,97596,96173,1.861499891453992e+19,1.660764212470583e+19,89.21645497241383
2025/12/01/10:40,98037,96614,1.869783953196764e+19,1.669048274213351e+19,89.26423137602526
2025/12/01/10:50,98478,97055,1.878069749534646e+19,1.677334070551229e+19,89.31159617297727
2025/12/01/11:00,98919,97496,1.886351614142013e+19,1.685615935158598e+19,89.35852269118352
2025/12/01/11:10,99361,97938,1.894653321958052e+19,1.69391764297464e+19,89.40514992072745
2025/12/01/11:20,99802,98379,1.902934629405176e+19,1.70219895042176e+19,89.45125723808164
2025/12/01/11:30,100243,98820,1.911221215235072e+19,1.710485536251655e+19,89.49699399612786
2025/12/01/11:40,100684,99261,1.919503875533928e+19,1.71876819655051e+19,89.54231447292173
2025/12/01/11:50,101113,99690,1.927564771137611e+19,1.72682909215419e+19,89.58604753577488
2025/12/01/12:00,101215,99792,1.929480513587301e+19,1.72874483460388e+19,89.59638734001976
2025/12/01/12:10,101656,100233,1.937753055689873e+19,1.737017376706456e+19,89.64080183519818
2025/12/01/12:20,102097,100674,1.946030174559336e+19,1.745294495575915e+19,89.68486297860845
2025/12/01/12:30,102538,101115,1.954304519867841e+19,1.753568840884418e+19,89.72853631853658
2025/12/01/12:40,102979,101556,1.962578458099758e+19,1.761842779116343e+19,89.77183927832493
2025/12/01/12:50,103420,101997,1.97085572241554e+19,1.770120043432122e+19,89.81479584221465
2025/12/01/13:00,103862,102439,1.979150851576472e+19,1.778415172593053e+19,89.85748464683603
2025/12/01/13:10,104303,102880,1.987424655669724e+19,1.7866889766863e+19,89.89970873055411
2025/12/01/13:20,104744,103321,1.995703319742173e+19,1.794967640758745e+19,89.94160720194819
2025/12/01/13:30,105078,103655,2.00197195938997e+19,1.80123628040654e+19,89.97310236829703
2025/12/01/13:40,105519,104096,2.010248582196077e+19,1.809512903212649e+19,90.01438524761269
2025/12/01/13:50,105960,104537,2.018527140330605e+19,1.817791461347172e+19,90.05533911470937
2025/12/01/14:00,106402,104979,2.026819149965085e+19,1.82608347098165e+19,90.09602415751336
2025/12/01/14:10,106843,105420,2.03509381790529e+19,1.834358138921855e+19,90.13629360881008
2025/12/01/14:20,107284,105861,2.043371074305974e+19,1.842635395322536e+19,90.17624936030683
2025/12/01/14:30,107725,106302,2.051647643654236e+19,1.850911964670795e+19,90.21587943698238
2025/12/01/14:40,108166,106743,2.059926767542613e+19,1.859191088559172e+19,90.25520313894906
2025/12/01/14:50,108608,107185,2.068223001193377e+19,1.867487322209937e+19,90.29429230466855
2025/12/01/15:00,108988,107565,2.075354210912944e+19,1.874618531929503e+19,90.32764248493574
2025/12/01/15:10,109429,108006,2.083624980287092e+19,1.882889301303651e+19,90.36603607258623
2025/12/01/15:20,109870,108447,2.091895405573904e+19,1.891159726590464e+19,90.40412448688515
2025/12/01/15:30,110311,108888,2.100168489454148e+19,1.899432810470708e+19,90.44192501737736
2025/12/01/15:40,110752,109329,2.108441506120581e+19,1.90770582713714e+19,90.47942860161278
2025/12/01/15:50,111194,109771,2.116732650299544e+19,1.915996971316104e+19,90.51672024074301
2025/12/01/16:00,111635,110212,2.125004300384084e+19,1.924268621400643e+19,90.55363422336798
2025/12/01/16:10,112076,110653,2.133275656345967e+19,1.932539977362527e+19,90.59026064511157
2025/12/01/16:20,112517,111094,2.141549203607547e+19,1.940813524624106e+19,90.62661373153176
2025/12/01/16:30,112958,111535,2.149819305012697e+19,1.949083626029257e+19,90.66267204339505
2025/12/01/16:40,113399,111976,2.158088953215462e+19,1.957353274232021e+19,90.69845204089697
2025/12/01/16:50,113841,112418,2.166375980625356e+19,1.965640301641915e+19,90.73403320666917
2025/12/01/17:00,114282,112859,2.174648327620067e+19,1.973912648636626e+19,90.76928087939967
2025/12/01/17:10,114723,113300,2.182915999418737e+19,1.982180320435296e+19,90.80424170985543
2025/12/01/17:20,115164,113741,2.191188205694779e+19,1.990452526711339e+19,90.8389576732049
2025/12/01/17:30,115605,114182,2.199459430382955e+19,1.998723751399514e+19,90.87340842888428
2025/12/01/17:40,116047,114624,2.20774558590696e+19,2.00700990692352e+19,90.90766253753026
2025/12/01/17:50,116488,115065,2.216018682700829e+19,2.015283003717389e+19,90.94160710148937
2025/12/01/18:00,116929,115506,2.224286988326258e+19,2.023551309342817e+19,90.97527971718742
2025/12/01/18:10,117370,115947,2.232554549067218e+19,2.031818870083777e+19,91.00869991878541
2025/12/01/18:20,117811,116388,2.240825404577361e+19,2.04008972559392e+19,91.0418866827645
2025/12/01/18:30,118252,116829,2.249092882592933e+19,2.048357203609492e+19,91.07481596082341
