#time, delivered spill, recorded spill, delivered POT, recorded POT, efficiency[%]
2025/11/29/17:10,0,0,0,0,-nan
2025/11/29/17:20,51,51,8745336133038119,2170981086421189,24.82444417681854
2025/11/29/17:30,53,53,9087490081321294,2264356048895796,24.91728770686664
2025/11/29/17:40,57,57,9892600816278062,2464129955435591,24.90881822888192
2025/11/29/17:50,109,109,2.035704988616044e+16,5061460209143442,24.8634268592348
2025/11/29/18:00,109,109,2.035704988616044e+16,5061460209143442,24.8634268592348
2025/11/29/18:10,449,449,8.871950456992178e+16,2.202572251213674e+16,24.82624606495383
2025/11/29/18:20,890,890,1.773586924052859e+17,4.402284845307735e+16,24.82136502928194
2025/11/29/18:30,1332,1332,2.66173715853727e+17,6.606235726335504e+16,24.81926401014701
2025/11/29/18:40,1773,1773,3.548039460616591e+17,8.805766440939821e+16,24.81868237003633
2025/11/29/18:50,2185,2185,4.376276271599053e+17,1.086105250756862e+17,24.81802298007134
2025/11/29/19:00,2568,2568,5.14577427180252e+17,1.277081116616234e+17,24.81805553761464
2025/11/29/19:10,3009,3009,6.032072954944631e+17,1.497038703911767e+17,24.81798073553817
2025/11/29/19:20,3450,3450,6.918137227572421e+17,1.716965023744614e+17,24.81831405282919
2025/11/29/19:30,3892,3892,7.8063622855024e+17,1.937437187792757e+17,24.81869425136561
2025/11/29/19:40,4333,4333,8.692830539490938e+17,2.157468276857493e+17,24.8189386305906
2025/11/29/19:50,4774,4774,9.579065504442255e+17,2.377424974349824e+17,24.81896562088757
2025/11/29/20:00,5215,5215,1.046496248955306e+18,2.597308415807236e+17,24.81908958966715
2025/11/29/20:10,5656,5656,1.135118976708457e+18,2.817281404902221e+17,24.8192609119406
2025/11/29/20:20,6098,6098,1.223923558874855e+18,3.037711898220271e+17,24.81945768747863
2025/11/29/20:30,6539,6539,1.312556973063858e+18,3.25770703358564e+17,24.81954764966342
2025/11/29/20:40,6829,6829,1.370830842255582e+18,3.402354695593084e+17,24.81965382391607
2025/11/29/20:50,7270,7270,1.459470059179178e+18,3.622367211789628e+17,24.81974322807887
2025/11/29/21:00,7711,7711,1.548077759809939e+18,3.842316651800393e+17,24.8199202362556
2025/11/29/21:10,8033,8033,1.612797088801785e+18,4.002946763128694e+17,24.81990320371084
2025/11/29/21:20,8475,8475,1.701651293337266e+18,4.223471153129694e+17,24.8198392330232
2025/11/29/21:30,8916,8916,1.790259760401005e+18,4.443430091125335e+17,24.82002997224291
2025/11/29/21:40,9253,9253,1.857994288368607e+18,4.611536904926088e+17,24.81997352626526
2025/11/29/21:50,9694,9694,1.946598611346135e+18,4.831443548085878e+17,24.81992702514454
2025/11/29/22:00,10135,10135,2.035205170028383e+18,5.05136511447598e+17,24.81993063335984
2025/11/29/22:10,10576,10576,2.123816907138243e+18,5.271320034812794e+17,24.82003047012034
2025/11/29/22:20,11018,11018,2.212627068646773e+18,5.491758319133142e+17,24.82008105637007
2025/11/29/22:30,11395,11395,2.288393265190982e+18,5.679809436434372e+17,24.82007582713434
2025/11/29/22:40,11431,11431,2.295628590653063e+18,5.697772250365069e+17,24.82009621924146
2025/11/29/22:50,11781,11433,2.365894381110048e+18,5.69876935276676e+17,24.08716719675782
2025/11/29/23:00,12222,11614,2.454416686109697e+18,6.061996871320073e+17,24.69831999442795
2025/11/29/23:10,12664,12056,2.543123621804042e+18,6.949066228263534e+17,27.32492502009794
2025/11/29/23:20,13091,12483,2.628849930047264e+18,7.8063293106957e+17,29.69484572501007
2025/11/29/23:30,13114,12506,2.633465494080861e+18,7.852484951031681e+17,29.81806660721931
2025/11/29/23:40,13555,12947,2.721991287784995e+18,8.737742888073039e+17,32.10055420560632
2025/11/29/23:50,13996,13388,2.810558296353095e+18,9.623412973754024e+17,34.24021834466522
2025/11/30/0:00,14437,13829,2.899115822402743e+18,1.050898823425055e+18,36.24894236043617
2025/11/30/0:10,14879,14271,2.987901264925462e+18,1.139684265947774e+18,38.14330410868533
2025/11/30/0:20,14953,14345,3.002754483176556e+18,1.154537484198869e+18,38.44928017483155
2025/11/30/0:30,15394,14786,3.091321996680241e+18,1.243104997702554e+18,40.21273096227178
2025/11/30/0:40,15835,15227,3.179906837288935e+18,1.331689838311242e+18,41.87826582512679
2025/11/30/0:50,16178,15570,3.248818911634075e+18,1.40060191265638e+18,43.11111055284741
2025/11/30/1:00,16619,16011,3.337417748932289e+18,1.489200749954595e+18,44.62134686108809
2025/11/30/1:10,17061,16453,3.426218675372281e+18,1.578001676394591e+18,46.05665387726983
2025/11/30/1:20,17502,16894,3.514804749115605e+18,1.666587750137916e+18,47.41622562554188
2025/11/30/1:30,17943,17045,3.603397729798273e+18,1.696929224364713e+18,47.09247636839999
2025/11/30/1:40,18384,17305,3.692000953988813e+18,1.749159548033785e+18,47.37700693560235
2025/11/30/1:50,18825,17746,3.780613356928939e+18,1.837771950973913e+18,48.61041787321961
2025/11/30/2:00,19267,18188,3.869413025338383e+18,1.926571619383361e+18,49.78976415201581
