#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 74.2176, 309
2, 53.5141, 403
3, 49.7891, 351
4, 58.0814, 419
5, 58.99, 405
6, 51.3306, 401
7, 57.9575, 360
8, 45.5248, 308
9, 62.7022, 402
10, 47.0649, 345
11, 60.7373, 362
12, 54.7562, 347
13, 56.169, 360
14, 63.9243, 385
15, 46.152, 312
16, 46.6024, 287
17, 50.2171, 326
18, 54.7412, 321
19, 52.0881, 328
20, 44.0209, 305
21, 45.6051, 308
22, 50.3916, 314
23, 47.8844, 310
24, 55.7727, 363
25, 43.6026, 285
26, 51.741, 309
27, 49.8444, 327
28, 60.6662, 441
29, 50.4276, 328
30, 50.1655, 342
31, 55.5127, 353
32, 51.8531, 329
33, 46.932, 314
34, 57.4274, 359
35, 46.8628, 333
36, 48.6499, 323
37, 49.9865, 285
38, 55.434, 308
39, 45.4873, 309
40, 48.1376, 330
41, 54.6213, 377
42, 63.5276, 361
43, 50.8034, 313
44, 52.1391, 334
45, 49.5157, 349
46, 57.6204, 349
47, 59.2513, 347
48, 47.7842, 315
49, 48.1634, 371
50, 46.6644, 361
51, 48.5749, 320
52, 52.99, 359
53, 48.5556, 302
54, 52.4183, 314
55, 52.3557, 296
56, 69.0318, 429
57, 47.9511, 312
58, 48.9912, 312
59, 58.585, 332
60, 53.4988, 307
61, 48.0288, 320
62, 58.6648, 322
63, 45.9537, 296
64, 51.4497, 293
65, 48.9403, 319
66, 50.7964, 306
67, 44.6503, 284
68, 48.7236, 314
69, 47.6608, 344
70, 58.983, 376
71, 44.9038, 299
72, 41.1909, 250
73, 54.3425, 303
74, 55.4695, 305
75, 52.1528, 293
76, 59.5905, 309
77, 55.3373, 316
78, 56.1865, 342
79, 56.3137, 309
80, 47.0175, 313
81, 48.985, 314
82, 46.6904, 327
83, 53.6306, 313
84, 60.7146, 392
85, 48.7148, 306
86, 56.3884, 317
87, 57.0639, 307
88, 53.8927, 323
89, 59.2917, 335
90, 47.174, 294
91, 51.169, 288
92, 48.9993, 278
93, 40.6728, 261
94, 55.3137, 316
95, 53.4548, 308
96, 52.3701, 313
97, 58.6632, 305
98, 67.4824, 393
99, 43.1602, 257
100, 52.4491, 308
101, 56.1519, 265
102, 54.4552, 326
103, 50.2507, 281
104, 52.4754, 290
105, 50.6402, 284
106, 47.3034, 300
107, 53.4309, 261
108, 54.61, 314
109, 49.6605, 305
110, 47.3197, 299
111, 72.1735, 374
112, 51.9098, 296
113, 52.0773, 303
114, 47.8839, 298
115, 59.35, 314
116, 48.7826, 301
117, 51.3318, 296
118, 53.0268, 296
119, 39.2302, 260
120, 52.4533, 346
121, 54.7318, 332
122, 53.0484, 290
123, 49.2258, 279
124, 63.427, 330
125, 46.6637, 251
126, 37.048, 229
127, 43.4787, 307
128, 51.166, 348
129, 45.7844, 306
130, 48.7283, 314
131, 49.1764, 294
132, 51.7862, 322
133, 49.4621, 267
134, 46.7963, 301
135, 57.3652, 348
136, 50.3247, 314
137, 48.9671, 281
138, 60.625, 322
139, 46.2935, 282
140, 51.0637, 208
201, 56.5003, 302
202, 48.8991, 375
203, 51.9012, 380
204, 45.3652, 329
205, 46.6445, 351
206, 40.5967, 350
207, 42.9348, 336
208, 46.452, 343
209, 40.6713, 328
210, 43.0649, 331
211, 42.2935, 329
212, 48.2299, 368
213, 44.6309, 371
214, 47.0367, 395
215, 45.0371, 383
216, 49.1016, 399
217, 43.824, 353
218, 44.0336, 335
219, 40.7519, 343
220, 49.6754, 352
221, 44.3857, 311
222, 45.9249, 327
223, 47.9019, 338
224, 45.1566, 344
225, 46.7068, 341
226, 56.2979, 384
227, 49.4146, 372
228, 46.853, 354
229, 46.728, 345
230, 51.1954, 357
231, 44.3358, 330
232, 48.6483, 347
