#bin	ch	sum	cnt
81664	137	63.21347377	5
81662	79	64.5412517	3
81664	258	23.71899685	2
81663	127	32.57889179	3
81666	27	11.01740743	1
81661	88	20.57986758	2
81663	146	16.06376579	1
81666	103	30.05578429	2
81669	223	61.1266713	4
81662	260	314.501695	6
81668	31	166.629433	2
81662	86	18.93304138	1
81663	83	66.96054033	5
81669	69	72.97424169	5
81662	67	14.78135159	1
81663	268	31.10437554	2
81663	31	21.58746658	2
81670	214	10.08431693	1
81670	1	124.582148	2
81661	42	39.83719097	2
81668	140	130.276961	4
81667	148	10.9415618	1
81669	169	53.14557576	2
81663	194	12.78882801	1
81667	170	43.79002301	2
81661	27	14.11513822	1
81668	177	21.53559956	1
81666	127	11.76645614	1
81665	110	10.01488658	1
81662	25	10.18900165	1
81663	23	145.492186	9
81671	177	14.53716575	1
81662	134	165.0759242	3
81669	65	17.38071808	1
81670	224	16.24789166	1
81663	85	10.01144884	1
81665	232	71.36084066	3
81665	0	12.88354082	1
81669	224	23.53688528	1
81666	95	10.768817	1
81663	3	10.29762113	1
81666	159	11.46025133	1
81671	261	21.30675658	2
81663	221	11.35187219	1
81671	84	10.11326657	1
81667	10	25.66502372	2
81663	59	10.20501386	1
81664	179	112.2246457	10
81668	61	12.64533328	1
81667	248	26.85269165	1
81663	128	49.33870402	2
81663	123	82.27788097	5
81664	213	36.82545229	2
81664	3	62.76461081	2
81664	90	12.22575004	1
81662	2	75.57053305	3
81664	270	11.98679178	1
81663	267	13.23584536	1
81670	28	23.89333899	2
81670	58	130.6123951	2
81661	179	36.00904417	3
81668	230	26.58980826	2
81665	41	20.69424708	1
81669	166	68.00251	2
81664	122	10.27693516	1
81662	131	50.62339034	2
81665	226	10.55878136	1
81663	180	41.25721379	2
81665	166	84.77845586	3
81662	63	10.48836768	1
81665	128	45.33273571	3
81661	267	16.29977762	1
81662	88	21.607756	2
81665	264	44.60532845	2
81666	96	10.55838204	1
81668	139	11.90306331	1
81665	245	13.33102208	1
81665	133	169.7154135	4
81663	158	22.61439891	2
81666	259	10.36983088	1
81670	8	17.05659659	1
81670	237	13.56839484	1
81669	232	118.056809	3
81671	260	20.46048637	2
81668	178	10.19435367	1
81663	19	53.47251613	2
81668	238	11.48909383	1
81664	101	20.66394741	2
81667	85	33.30018366	3
81669	251	77.35876443	3
81662	165	43.12885958	3
81663	261	10.58117842	1
81661	120	10.97140865	1
81662	161	52.08583262	2
81662	144	36.17633812	3
81664	106	26.36754805	2
81668	220	17.33344745	1
81668	191	123.1198163	3
81662	241	16.30260329	1
81665	75	10.3093353	1
81669	5	89.65565914	2
81662	27	330.6645174	13
81664	135	302.089678	5
81668	127	51.72281677	1
81669	2	61.68707623	2
81662	239	152.901766	3
81662	97	45.79899338	4
81664	65	10.65447719	1
81667	55	193.3787329	6
81662	265	55.94723479	2
81668	253	23.67138292	2
81670	126	47.87328276	2
81663	260	46.57440977	4
81662	270	35.939038	2
81664	161	20.71398611	2
81670	0	68.26976153	3
81667	179	83.31134354	7
81666	13	12.26421848	1
81668	194	28.27404795	2
81668	134	30.74260786	2
81665	229	70.04130145	3
81666	226	13.95479648	1
81663	119	11.22529825	1
81662	55	177.7538221	9
81667	167	43.28030342	2
81665	123	21.02909607	2
81664	78	22.9165881	2
81664	27	103.9317031	6
81665	233	38.14144679	3
81662	73	10.86324797	1
81670	29	22.58208442	2
81667	92	23.36356321	2
81671	180	10.81061811	1
81663	99	10.42560296	1
81664	14	23.78194796	2
81668	252	21.0106904	1
81669	50	20.92420416	2
81662	169	34.33893343	1
81668	26	15.17773685	1
81662	21	26.06843359	2
81664	193	124.1097984	10
81668	131	22.73908622	2
81664	80	23.08311947	2
81664	164	20.12849702	2
81668	256	21.99836067	1
81663	18	19.48498318	1
81662	125	22.21210384	2
81668	130	11.51866442	1
81666	3	31.38016903	2
81661	200	14.99941789	1
81667	260	11.13021301	1
81663	121	61.13804862	2
81668	79	18.4868286	1
81671	13	12.97806853	1
81670	160	44.46260705	2
81668	97	51.20999523	2
81664	146	10.83497534	1
81663	13	10.49284833	1
81670	242	77.56020794	2
81661	134	31.57599711	2
81668	36	55.46348181	4
81664	125	10.46857062	1
81663	97	68.63186778	4
81665	192	17.0844301	1
81664	83	84.66014266	8
81664	144	29.68461216	1
81663	250	37.44408628	1
81669	209	100.7816317	2
81668	55	55.0589912	5
81667	21	11.24004341	1
81670	216	102.505159	4
81664	102	84.14805795	2
81665	179	22.60686877	2
81668	211	52.24798913	3
81669	83	53.90242598	2
81662	248	212.1297383	6
81663	72	211.9357646	6
81670	2	23.52219328	2
81663	220	59.58793488	4
81666	157	15.60405561	1
81668	192	59.69047465	4
81669	27	53.86066437	5
81668	13	10.45057406	1
81670	133	39.20911376	2
81668	121	50.6574905	3
81662	119	23.6797395	2
81661	241	78.05831895	3
81662	164	23.48415162	2
81665	251	50.40752006	2
81668	259	196.2525889	3
81661	198	22.87487921	1
81663	15	41.73925117	1
81661	121	57.60235471	3
81668	95	10.86334484	1
81670	88	23.47114782	2
81670	101	28.87597299	2
81663	183	24.9405494	2
81664	263	38.5860681	2
81670	123	10.35905861	1
81662	13	123.9443014	2
81662	23	12.87797069	1
81664	266	264.8359725	3
81671	74	74.07601086	2
81661	115	31.50278375	1
81665	135	168.6116178	3
81669	239	38.5854178	2
81662	261	189.6056385	3
81668	246	11.09834834	1
81664	157	20.72741402	2
81663	45	36.21235541	2
81668	255	15.43919013	1
81668	100	10.58362256	1
81664	233	24.09001469	2
81664	226	34.16691514	2
81662	90	63.28616125	4
81671	229	10.36380536	1
81669	126	36.32995635	1
81662	257	29.38927158	2
81664	178	20.78849151	2
81663	211	24.77960457	1
81667	168	27.26920687	2
81671	246	55.07960315	3
81666	75	10.66588696	1
81666	69	24.00307872	2
81670	6	83.96570423	2
81665	97	12.28900574	1
81665	88	10.44482063	1
81670	204	37.57175374	3
81670	93	12.29839424	1
81670	266	62.52199411	4
81665	171	48.4580623	2
81670	190	28.48903092	2
81670	238	30.68495975	2
81664	228	49.16040663	2
81662	69	58.75067286	3
81669	124	111.2982469	3
81665	212	34.89221478	2
81670	108	12.01431625	1
81663	254	94.59779674	4
81663	76	115.986758	5
81670	175	11.05088451	1
81670	267	44.74156229	2
81670	102	11.69277631	1
81664	1	49.25556225	2
81663	27	28.93688131	2
81670	21	75.23812418	3
81671	107	52.24863199	2
81670	233	33.47829538	3
81670	259	60.14577633	1
81668	136	60.81083412	2
81667	217	37.79514423	2
81669	121	132.8143728	5
81663	92	11.40237387	1
81667	134	13.77377314	1
81670	117	11.56396106	1
81662	46	58.03100053	2
81662	83	73.43265111	6
81670	141	97.60194555	4
81670	116	83.32639577	1
81666	161	27.74177039	2
81662	243	87.5119188	2
81669	53	21.97962916	2
81662	219	11.89044066	1
81665	160	10.19499637	1
81663	237	26.42870403	1
81670	41	14.76437311	1
81670	250	10.97696582	1
81670	43	76.95231512	2
81663	149	10.52937793	1
81669	179	139.6627961	12
81670	137	34.2517551	3
81670	205	10.23690176	1
81665	138	10.87317598	1
81667	5	29.27158764	2
81670	132	52.24904323	4
81664	13	11.15328889	1
81666	22	31.40070576	2
81661	83	35.24119567	3
81669	141	24.74332795	2
81663	137	52.65948739	2
81663	169	24.41851677	2
81662	45	366.7600161	4
81668	32	75.524261	2
81670	65	10.60166565	1
81671	186	10.86426555	1
81667	193	23.65845335	2
81663	109	12.6770264	1
81662	233	21.03796669	2
81661	54	11.86262509	1
81664	88	31.35626453	3
81665	14	23.71444596	2
81669	22	27.76262103	2
81664	55	66.35224148	6
81666	122	24.33423975	2
81664	139	37.62349772	2
81670	115	48.73980107	2
81669	233	57.14772743	5
81668	77	33.71196941	2
81663	96	70.14448226	3
81669	11	11.74043239	1
81668	63	10.33399908	1
81665	101	50.49791189	3
81666	267	39.47001166	2
81669	132	33.78438555	3
81668	27	36.53464224	3
81670	49	11.10220764	1
81668	265	32.7226315	2
81667	139	14.59060874	1
81662	175	26.9079925	2
81670	114	21.77919931	2
81661	193	12.76806977	1
81666	152	46.65480148	2
81669	86	93.88769198	2
81663	172	26.75721926	2
81663	142	87.97597853	3
81662	65	35.17887193	2
81662	107	12.30397962	1
81663	233	41.65861358	4
81669	80	27.34658049	2
81668	42	105.5196238	2
81668	154	187.9377989	4
81664	0	79.78915449	3
81668	58	10.71454556	1
81665	170	192.4779674	3
81663	87	30.31261954	2
81665	111	16.52992041	1
81668	41	35.28362228	2
81662	167	10.08403902	1
81669	216	20.75284164	1
81670	226	38.39828545	2
81670	181	28.70782571	1
81664	127	115.6814407	5
81667	50	21.56192397	1
81662	89	149.6568331	4
81664	36	70.89907836	4
81668	153	11.84356382	1
81661	259	45.63946491	2
81670	78	115.7459627	2
81671	18	10.06475004	1
81666	200	478.8162273	7
81663	30	42.43457551	3
81663	230	12.50209236	1
81661	97	11.61004828	1
81670	33	156.2896987	4
81664	256	10.23893446	1
81669	6	56.71101331	4
81665	134	134.3352263	2
81666	93	11.33392262	1
81668	269	10.7619749	1
81666	268	85.98802681	2
81670	263	11.48176495	1
81663	247	37.70912783	2
81664	35	49.36717477	2
81663	249	16.23960841	1
81666	143	10.34109644	1
81663	71	82.3082029	3
81671	112	45.07684319	2
81662	28	65.51510456	2
81669	101	52.90673102	4
81665	118	23.80329124	2
81663	212	64.75116651	2
81668	69	33.56750067	3
81671	254	26.9763905	2
81670	3	21.2013481	2
81670	206	64.43217321	4
81666	108	112.5851929	2
81669	206	21.72853146	2
81662	0	185.351749	2
81662	76	141.5188033	3
81667	153	38.64650245	2
81668	120	23.79572325	2
81666	185	10.46926024	1
81667	51	54.93086072	1
81661	73	23.99310576	2
81670	189	137.9348295	3
81667	27	23.61852169	2
81668	260	10.95389121	1
81671	37	12.65208696	1
81662	268	62.3935115	2
81665	183	27.29559002	2
81668	248	13.13957891	1
81664	134	74.63758326	2
81669	174	10.87760676	1
81666	79	83.24972457	2
81669	221	29.26964501	2
81666	254	10.9498203	1
81668	212	59.61226097	2
81668	108	17.36538565	1
81669	55	22.09948972	2
81668	110	53.13854508	4
81663	4	100.4032748	4
81665	176	44.21214329	1
81662	70	11.77177028	1
81663	69	33.04006425	3
81664	136	69.37485051	4
81664	259	56.97079528	2
81663	173	208.1708623	2
81666	140	201.0028996	4
81662	105	36.99518881	2
81664	5	22.82566475	2
81669	170	40.07655838	2
81663	205	78.47407138	2
81670	249	61.66211285	1
81663	178	82.53291147	3
81668	123	109.7247064	5
81668	0	24.02963818	2
81663	10	10.33898358	1
81668	160	120.1109059	3
81666	184	30.30666304	1
81662	259	40.21547085	3
81666	162	32.32440183	2
81663	135	65.53813114	3
81670	24	12.83639104	1
81669	184	38.5490216	2
81670	22	38.21547724	2
81663	107	10.32471952	1
81663	53	12.28023755	1
81663	154	13.60612938	1
81663	47	18.46502088	1
81669	138	27.59564088	2
81667	194	30.70403965	2
81665	168	12.45557889	1
81671	83	24.86927498	2
81663	11	11.18879464	1
81668	65	22.46438272	2
81663	25	21.00552715	2
81665	120	16.57103625	1
81665	242	13.18056247	1
81666	141	45.92604782	2
81662	132	145.2416303	3
81663	141	10.82576209	1
81662	33	10.22757142	1
81661	117	11.38272901	1
81662	234	10.46066322	1
81664	202	28.11679622	2
81668	30	61.6531947	3
81663	246	32.24875929	3
81668	233	63.08080181	5
81666	40	28.87366954	2
81663	57	27.41671333	2
81663	39	232.9023561	5
81661	110	32.71313186	3
81662	141	18.07664435	1
81669	88	87.21845036	2
81666	198	12.78496496	1
81665	137	40.72352345	3
81667	88	23.43519395	2
81669	189	107.1708205	2
81665	206	11.5590606	1
81668	132	27.93430481	2
81668	231	12.29897445	1
81666	54	11.85093889	1
81662	162	86.23451761	2
81665	27	12.51522172	1
81664	123	68.0068845	6
81661	87	21.4081847	2
81661	6	10.80519647	1
81664	130	17.8214637	1
81663	238	43.6509348	2
81668	98	14.63901383	1
81665	9	15.90316638	1
81666	160	12.44127853	1
81666	97	24.78047346	2
81662	199	53.8164422	2
81670	54	13.915024	1
81664	118	13.92740618	1
81667	100	64.93718223	2
81669	259	13.54716124	1
81666	109	10.84434451	1
81665	260	24.17864844	2
81663	248	12.42330044	1
81664	109	10.74458123	1
81670	25	21.73925272	1
81661	163	44.70624923	2
81665	114	10.25759158	1
81662	106	37.71633255	2
81668	4	12.64101775	1
81664	140	47.61257329	2
81665	23	11.34832952	1
81669	120	13.78268863	1
81663	79	11.7676171	1
81669	102	14.6496109	1
81665	141	70.40900976	2
81663	114	84.95375966	2
81662	1	46.64245814	3
81666	193	23.84660642	2
81662	246	25.5962786	2
81669	12	179.3358497	4
81665	50	35.54763354	2
81664	224	138.0303813	2
81665	214	10.56639411	1
81665	57	10.17656943	1
81671	104	187.9284904	3
81663	5	85.40155573	2
81670	61	87.90317949	3
81664	41	12.99223207	1
81669	268	169.8366979	4
81663	143	14.27397327	1
81668	135	10.51803583	1
81661	135	32.151026	2
81664	116	10.1385592	1
81666	260	24.15146758	2
81667	110	26.19536968	2
81664	211	39.75968161	2
81662	133	220.3664276	9
81665	174	24.7471422	1
81666	123	35.17987308	2
81667	254	10.02729734	1
81667	140	13.33164096	1
81665	231	45.61981564	2
81664	75	48.98995679	2
81671	178	23.48008785	1
81662	221	12.00913922	1
81663	153	10.50657121	1
81669	131	267.8399767	6
81661	264	12.32604477	1
81663	122	74.38038057	3
81666	179	51.06784655	4
81671	70	12.76914559	1
81662	258	54.05763442	2
81665	115	54.60591629	2
81665	112	17.67785032	1
81668	3	42.45928544	2
81663	24	119.7210023	2
81668	64	225.5224551	3
81667	83	21.59565055	1
81661	210	22.48484434	2
81664	40	39.14336082	2
81669	68	14.40561674	1
81664	31	10.06894548	1
81669	97	61.43735303	5
81663	132	136.3761013	2
81663	166	26.4836248	2
81662	44	137.1155465	2
81670	124	49.0368902	3
81663	270	33.73719826	3
81669	57	123.5533849	2
81670	69	63.35043078	6
81669	265	15.32853914	1
81663	103	16.67174623	1
81669	116	159.4835423	3
81670	82	198.0479616	2
81669	269	148.9714375	5
81669	46	28.52180028	2
81664	239	27.19459279	2
81669	133	58.566638	2
81663	82	11.04153199	1
81670	60	14.03632307	1
81663	55	54.17726773	3
81663	214	10.51254113	1
81661	233	29.18889044	1
81665	249	52.03561705	2
81669	3	134.1384953	4
81665	102	14.87444212	1
81667	255	10.0432296	1
81669	13	33.85982608	3
81670	179	65.60687629	6
81670	252	21.64820233	2
81665	139	10.04344707	1
81664	70	43.96797583	1
81662	3	51.64624334	2
81669	29	38.02213417	2
81670	13	20.64507573	2
81667	206	20.74947471	2
81666	1	16.2868044	1
81664	206	65.92376234	6
81665	3	13.16044258	1
81664	113	30.48216858	2
81664	23	11.27787952	1
81668	46	29.66366089	2
81666	151	30.65113076	2
81670	27	88.93198297	6
81667	251	13.03636984	1
81670	192	28.51758127	2
81669	199	23.69999532	2
81663	176	92.93370432	2
81663	0	25.26335929	2
81670	80	26.14763081	2
81666	114	63.36016783	2
81663	111	30.30427098	2
81661	122	24.07795269	2
81669	231	128.1323223	2
81666	76	124.0529533	3
81665	127	181.7459089	6
81670	77	10.92933738	1
81669	261	55.75178689	2
81662	66	12.14360453	1
81670	44	10.19993261	1
81668	159	30.86376518	1
81662	80	144.5867809	3
81662	245	13.26315214	1
81669	143	25.09501036	2
81665	162	14.13557777	1
81664	133	30.93849306	2
81664	61	86.60646474	4
81663	136	111.3910234	6
81668	53	17.64632548	1
81663	266	71.46325342	3
81664	212	31.96569657	2
81661	69	31.10387376	3
81664	114	37.5087394	2
81669	24	21.46660833	1
81664	191	16.34350015	1
81669	48	17.28966465	1
81669	225	40.45043751	2
81663	224	30.46509168	2
81662	197	44.57743064	2
81661	10	26.71600286	1
81666	99	99.69477232	2
81663	239	52.20373458	2
81665	51	67.34350375	2
81661	99	23.07963749	2
81670	79	184.3318246	2
81670	32	14.45769156	1
81669	134	10.53809122	1
81669	193	209.8493941	17
81668	241	37.64351836	2
81662	43	27.83834311	2
81670	193	357.3230485	16
81662	118	27.23247411	2
81666	197	12.50481744	1
81670	260	55.02397431	3
81669	155	13.85796833	1
81664	126	42.70293405	2
81662	82	20.44209924	2
81661	191	13.12600207	1
81670	265	81.87147491	2
81663	20	36.56241088	2
81664	94	11.92726647	1
81661	143	12.42088965	1
81665	68	37.32082564	2
81667	61	10.86757905	1
81671	251	10.43412866	1
81669	137	35.13987916	3
81662	101	46.0652727	2
81662	108	24.03272475	2
81669	240	101.0157707	2
81665	144	86.75887335	2
81662	271	178.3180266	2
81669	271	94.45400613	3
81664	138	10.98516042	1
81665	93	21.45566353	2
